State,Residence_Type,Gender,Education level,Labor force participation rate according to usual status based on different general education level,Working population rate according to usual status based on different general education level,Unemployment rate according to usual status based on different general education level
J & K,Total,Male,Middle,74.6,73.1,1.9
J & K,Total,Male,Not Literate,75.6,75.6,0
J & K,Total,Male,Post Graduate & Above,89.6,81.9,8.6
J & K,Total,Male,Secondary,67.3,65.9,2.1
J & K,Total,Male,Secondary & Above,70.6,64.8,8.3
J & K,Total,Person,All,56.3,52.5,6.7
J & K,Total,Person,Diploma/Certificate Course,68.8,34.7,49.6
J & K,Total,Person,Graduate,62.6,48.9,21.9
J & K,Total,Person,Higher Secondary,47.8,40.8,14.6
J & K,Total,Person,Literate & Upto Primary,65.3,65,0.4
J & K,Total,Person,Middle,58.6,57.2,2.5
J & K,Total,Person,Not Literate,49.4,49.2,0.4
J & K,Total,Person,Post Graduate & Above,79,62.3,21.2
J & K,Total,Person,Secondary,53.2,50.4,5.2
J & K,Total,Person,Secondary & Above,56.9,48.6,14.6
J & K,Urban,Female,All,27,18.9,29.9
J & K,Urban,Female,Diploma/Certificate Course,52.3,39.1,25.2
J & K,Urban,Female,Graduate,48.3,26.6,44.9
J & K,Urban,Female,Higher Secondary,27,16.7,38.2
J & K,Urban,Female,Literate & Upto Primary,26.6,26.2,1.6
J & K,Urban,Female,Middle,15.6,12.6,18.9
J & K,Urban,Female,Not Literate,16.8,16.6,1.1
J & K,Urban,Female,Post Graduate & Above,63.3,34.9,44.8
J & K,Urban,Female,Secondary,15.5,10.3,33.1
J & K,Urban,Female,Secondary & Above,36.2,21.1,41.8
J & K,Urban,Male,All,74.2,68.9,7.1
J & K,Urban,Male,Diploma/Certificate Course,84.6,68.7,18.9
J & K,Urban,Male,Graduate,81.8,71.1,13.1
J & K,Urban,Male,Higher Secondary,68.9,60.1,12.8
J & K,Urban,Male,Literate & Upto Primary,83.6,83,0.7
J & K,Urban,Male,Middle,78.4,74.9,4.4
J & K,Urban,Male,Not Literate,65.4,65.4,0
J & K,Urban,Male,Post Graduate & Above,85.5,76.2,10.8
J & K,Urban,Male,Secondary,61.4,58.9,4
J & K,Urban,Male,Secondary & Above,72.6,65,10.5
J & K,Urban,Person,All,50.9,44.2,13
J & K,Urban,Person,Diploma/Certificate Course,73.7,58.7,20.4
J & K,Urban,Person,Graduate,67.2,51.6,23.2
J & K,Urban,Person,Higher Secondary,50.6,41.2,18.7
J & K,Urban,Person,Literate & Upto Primary,56.9,56.4,0.9
J & K,Urban,Person,Middle,50.9,47.6,6.3
J & K,Urban,Person,Not Literate,31.6,31.4,0.4
J & K,Urban,Person,Post Graduate & Above,73.5,54,26.6
J & K,Urban,Person,Secondary,41.2,37.5,8.8
J & K,Urban,Person,Secondary & Above,56.2,45.1,19.6
Himachal Pradesh,Rural,Female,All,62.1,59.4,4.3
Himachal Pradesh,Rural,Female,Diploma/Certificate Course,92,79.3,13.8
Himachal Pradesh,Rural,Female,Graduate,47.5,33.8,28.9
Himachal Pradesh,Rural,Female,Higher Secondary,51.3,46.8,8.9
Himachal Pradesh,Rural,Female,Literate & Upto Primary,74.4,74.1,0.4
Himachal Pradesh,Rural,Female,Middle,64.7,64,1.2
Himachal Pradesh,Rural,Female,Not Literate,55.4,55.4,0
Himachal Pradesh,Rural,Female,Post Graduate & Above,87.2,64.9,25.6
Himachal Pradesh,Rural,Female,Secondary,60.9,60.2,1.1
Himachal Pradesh,Rural,Female,Secondary & Above,59.9,54.1,9.6
Himachal Pradesh,Rural,Male,All,76.1,72.1,5.3
Himachal Pradesh,Rural,Male,Diploma/Certificate Course,85.3,77.9,8.7
Himachal Pradesh,Rural,Male,Graduate,90.7,75.6,16.7
Himachal Pradesh,Rural,Male,Higher Secondary,73.3,66,9.9
Himachal Pradesh,Rural,Male,Literate & Upto Primary,84.7,84.6,0.1
Himachal Pradesh,Rural,Male,Middle,80.3,79.3,1.2
Himachal Pradesh,Rural,Male,Not Literate,57,57,0
Himachal Pradesh,Rural,Male,Post Graduate & Above,89.3,73.3,17.9
Himachal Pradesh,Rural,Male,Secondary,70.9,68.6,3.2
Himachal Pradesh,Rural,Male,Secondary & Above,75.8,69.5,8.3
Himachal Pradesh,Rural,Person,All,68.9,65.6,4.8
Himachal Pradesh,Rural,Person,Diploma/Certificate Course,87.5,78.3,10.4
Himachal Pradesh,Rural,Person,Graduate,73.4,58.8,19.9
Himachal Pradesh,Rural,Person,Higher Secondary,63.4,57.4,9.5
Himachal Pradesh,Rural,Person,Literate & Upto Primary,78.9,78.7,0.3
Himachal Pradesh,Rural,Person,Middle,72.5,71.6,1.2
Himachal Pradesh,Rural,Person,Not Literate,55.8,55.8,0
Himachal Pradesh,Rural,Person,Post Graduate & Above,88.1,68.5,22.3
Himachal Pradesh,Rural,Person,Secondary,66.8,65.2,2.5
Himachal Pradesh,Rural,Person,Secondary & Above,69.1,63,8.8
Himachal Pradesh,Total,Female,All,59.2,56.3,4.8
Himachal Pradesh,Total,Female,Diploma/Certificate Course,88.1,75.4,14.4
Himachal Pradesh,Total,Female,Graduate,40.4,28.2,30.2
Himachal Pradesh,Total,Female,Higher Secondary,47.7,43.4,9.2
Himachal Pradesh,Total,Female,Literate & Upto Primary,71.9,71.7,0.4
Himachal Pradesh,Total,Female,Middle,63.2,62.5,1.1
Himachal Pradesh,Total,Female,Not Literate,54.4,54.4,0
Himachal Pradesh,Total,Female,Post Graduate & Above,77.5,57,26.5
Himachal Pradesh,Total,Female,Secondary,57.4,56.7,1.2
Himachal Pradesh,Total,Female,Secondary & Above,55.5,49.6,10.7
Himachal Pradesh,Total,Male,All,75.8,71.7,5.4
Himachal Pradesh,Total,Male,Diploma/Certificate Course,85.2,78.6,7.7
Himachal Pradesh,Total,Male,Graduate,87.1,73.2,15.9
Himachal Pradesh,Total,Male,Higher Secondary,71.1,64,10
Himachal Pradesh,Total,Male,Literate & Upto Primary,85.2,85.1,0.1
Himachal Pradesh,Total,Male,Middle,81,80,1.2
Himachal Pradesh,Total,Male,Not Literate,58.3,58.3,0
Himachal Pradesh,Total,Male,Post Graduate & Above,82.9,69.7,15.9
Himachal Pradesh,Total,Male,Secondary,70.6,68.2,3.3
Himachal Pradesh,Total,Male,Secondary & Above,74.8,68.5,8.4
Himachal Pradesh,Total,Person,All,67.4,63.9,5.1
Himachal Pradesh,Total,Person,Diploma/Certificate Course,86.1,77.6,9.9
Himachal Pradesh,Total,Person,Graduate,68.1,54.9,19.4
Himachal Pradesh,Total,Person,Higher Secondary,60.6,54.7,9.7
Himachal Pradesh,Total,Person,Literate & Upto Primary,77.8,77.6,0.2
Himachal Pradesh,Total,Person,Middle,72.2,71.4,1.2
Himachal Pradesh,Total,Person,Not Literate,55.4,55.4,0
Himachal Pradesh,Total,Person,Post Graduate & Above,79.9,62.6,21.6
Himachal Pradesh,Total,Person,Secondary,65.2,63.6,2.6
Himachal Pradesh,Total,Person,Secondary & Above,66.6,60.4,9.2
Himachal Pradesh,Urban,Female,All,31.4,26.7,14.9
Himachal Pradesh,Urban,Female,Diploma/Certificate Course,49.6,36.8,25.8
Himachal Pradesh,Urban,Female,Graduate,23,14.6,36.7
Himachal Pradesh,Urban,Female,Higher Secondary,18.2,15.4,15.4
Himachal Pradesh,Urban,Female,Literate & Upto Primary,28.3,28.3,0
Himachal Pradesh,Urban,Female,Middle,42.6,42.6,0
Himachal Pradesh,Urban,Female,Not Literate,36.5,36.5,0
Himachal Pradesh,Urban,Female,Post Graduate & Above,55.4,39,29.6
Himachal Pradesh,Urban,Female,Secondary,21.2,20.4,3.9
Himachal Pradesh,Urban,Female,Secondary & Above,29.1,22.1,24
Himachal Pradesh,Urban,Male,All,73.4,68.6,6.5
Himachal Pradesh,Urban,Male,Diploma/Certificate Course,84.6,84.6,0
Himachal Pradesh,Urban,Male,Graduate,77.5,67,13.6
Himachal Pradesh,Urban,Male,Higher Secondary,52.2,46.1,11.7
Himachal Pradesh,Urban,Male,Literate & Upto Primary,92.2,92.2,0
Himachal Pradesh,Urban,Male,Middle,87.7,86.7,1.2
Himachal Pradesh,Urban,Male,Not Literate,87.5,87.5,0
Himachal Pradesh,Urban,Male,Post Graduate & Above,70.5,62.8,10.9
Himachal Pradesh,Urban,Male,Secondary,67.3,64.6,4
Himachal Pradesh,Urban,Male,Secondary & Above,68.1,61.8,9.2
Himachal Pradesh,Urban,Person,All,53.8,49,8.8
Himachal Pradesh,Urban,Person,Diploma/Certificate Course,74.7,71,4.9
Himachal Pradesh,Urban,Person,Graduate,54.7,45,17.7
Himachal Pradesh,Urban,Person,Higher Secondary,36.4,31.9,12.5
Himachal Pradesh,Urban,Person,Literate & Upto Primary,60.4,60.4,0
Himachal Pradesh,Urban,Person,Middle,69.5,68.9,0.9
Himachal Pradesh,Urban,Person,Not Literate,48.1,48.1,0
Himachal Pradesh,Urban,Person,Post Graduate & Above,62.6,50.3,19.6
Himachal Pradesh,Urban,Person,Secondary,48.3,46.4,4
Himachal Pradesh,Urban,Person,Secondary & Above,50.9,44.3,12.9
Himachal Pradesh,Rural,Female,All,68.2,66.7,2.3
Himachal Pradesh,Rural,Female,Diploma/Certificate Course,82.5,74.8,9.3
Himachal Pradesh,Rural,Female,Graduate,65.5,54.8,16.3
Himachal Pradesh,Rural,Female,Higher Secondary,63.3,61.9,2.1
Himachal Pradesh,Rural,Female,Literate & Upto Primary,80.3,80.3,0
Himachal Pradesh,Rural,Female,Middle,71.9,71.6,0.4
Himachal Pradesh,Rural,Female,Not Literate,59,59,0
Himachal Pradesh,Rural,Female,Post Graduate & Above,90,78.5,12.7
Himachal Pradesh,Rural,Female,Secondary,62.6,62.5,0.1
Himachal Pradesh,Rural,Female,Secondary & Above,66.8,63.3,5.2
Himachal Pradesh,Rural,Male,All,82.4,78.7,4.5
Himachal Pradesh,Rural,Male,Diploma/Certificate Course,92.5,80.3,13.2
Himachal Pradesh,Rural,Male,Graduate,85.6,68.8,19.6
Himachal Pradesh,Rural,Male,Higher Secondary,77.2,73,5.4
Himachal Pradesh,Rural,Male,Literate & Upto Primary,92.6,92.5,0
Himachal Pradesh,Rural,Male,Middle,86.2,85.1,1.3
Himachal Pradesh,Rural,Male,Not Literate,64.9,64.9,0
Himachal Pradesh,Rural,Male,Post Graduate & Above,97.3,90.2,7.3
Himachal Pradesh,Rural,Male,Secondary,79.2,78,1.5
Himachal Pradesh,Rural,Male,Secondary & Above,81.5,75.9,6.9
Himachal Pradesh,Rural,Person,All,75,72.4,3.4
Himachal Pradesh,Rural,Person,Diploma/Certificate Course,88.2,77.9,11.6
Himachal Pradesh,Rural,Person,Graduate,76.9,62.7,18.4
Himachal Pradesh,Rural,Person,Higher Secondary,70.9,68,4.1
Himachal Pradesh,Rural,Person,Literate & Upto Primary,85.3,85.3,0
Himachal Pradesh,Rural,Person,Middle,79.1,78.4,0.9
Himachal Pradesh,Rural,Person,Not Literate,60.5,60.5,0
Himachal Pradesh,Rural,Person,Post Graduate & Above,93.5,84.2,10
Himachal Pradesh,Rural,Person,Secondary,72.6,71.8,1
Himachal Pradesh,Rural,Person,Secondary & Above,75.1,70.4,6.2
Himachal Pradesh,Total,Female,All,65,63.1,2.8
Himachal Pradesh,Total,Female,Diploma/Certificate Course,79.3,72.2,9
Himachal Pradesh,Total,Female,Graduate,61.4,49.8,19
Himachal Pradesh,Total,Female,Higher Secondary,58.6,57.2,2.4
Himachal Pradesh,Total,Female,Literate & Upto Primary,77.1,76.9,0.2
Himachal Pradesh,Total,Female,Middle,68.5,68.2,0.5
Himachal Pradesh,Total,Female,Not Literate,58,58,0
Himachal Pradesh,Total,Female,Post Graduate & Above,80.7,69.4,14
Himachal Pradesh,Total,Female,Secondary,58,57.9,0.1
Himachal Pradesh,Total,Female,Secondary & Above,62.3,58.5,6.2
Himachal Pradesh,Total,Male,All,82,78.4,4.4
Himachal Pradesh,Total,Male,Diploma/Certificate Course,92.7,81.7,11.8
Himachal Pradesh,Total,Male,Graduate,81.2,67.1,17.4
Himachal Pradesh,Total,Male,Higher Secondary,77.1,72.6,5.8
Himachal Pradesh,Total,Male,Literate & Upto Primary,92.1,92.1,0
Himachal Pradesh,Total,Male,Middle,86.7,85.4,1.5
Himachal Pradesh,Total,Male,Not Literate,66,66,0
Himachal Pradesh,Total,Male,Post Graduate & Above,95.4,88,7.8
Himachal Pradesh,Total,Male,Secondary,78.2,77.1,1.3
Himachal Pradesh,Total,Male,Secondary & Above,80.6,75.1,6.7
Himachal Pradesh,Total,Person,All,73.2,70.5,3.7
Himachal Pradesh,Total,Person,Diploma/Certificate Course,87.2,77.8,10.8
Himachal Pradesh,Total,Person,Graduate,72.7,59.7,17.9
Himachal Pradesh,Total,Person,Higher Secondary,68.7,65.6,4.5
Himachal Pradesh,Total,Person,Literate & Upto Primary,83.4,83.2,0.1
Himachal Pradesh,Total,Person,Middle,77.7,76.9,1
Himachal Pradesh,Total,Person,Not Literate,60,60,0
Himachal Pradesh,Total,Person,Post Graduate & Above,87.6,78.1,10.8
Himachal Pradesh,Total,Person,Secondary,70.1,69.4,0.9
Himachal Pradesh,Total,Person,Secondary & Above,72.7,67.9,6.5
Himachal Pradesh,Urban,Female,All,40.6,36.7,9.7
Himachal Pradesh,Urban,Female,Diploma/Certificate Course,35.9,35.9,0
Himachal Pradesh,Urban,Female,Graduate,46.9,31.9,32
Himachal Pradesh,Urban,Female,Higher Secondary,23.6,21.8,7.8
Himachal Pradesh,Urban,Female,Literate & Upto Primary,46,44.1,4.2
Himachal Pradesh,Urban,Female,Middle,45.4,45,0.9
Himachal Pradesh,Urban,Female,Not Literate,45.4,45.4,0
Himachal Pradesh,Urban,Female,Post Graduate & Above,62.9,51.9,17.6
Himachal Pradesh,Urban,Female,Secondary,20.2,20.2,0
Himachal Pradesh,Urban,Female,Secondary & Above,36.8,30.4,17.3
Himachal Pradesh,Urban,Male,All,79.5,76.2,4.1
Himachal Pradesh,Urban,Male,Diploma/Certificate Course,93.5,89.1,4.7
Himachal Pradesh,Urban,Male,Graduate,66.6,61.6,7.4
Himachal Pradesh,Urban,Male,Higher Secondary,76.1,69.6,8.6
Himachal Pradesh,Urban,Male,Literate & Upto Primary,89.1,89.1,0
Himachal Pradesh,Urban,Male,Middle,89.9,87.4,2.8
Himachal Pradesh,Urban,Male,Not Literate,80.1,80.1,0
Himachal Pradesh,Urban,Male,Post Graduate & Above,91.1,83.1,8.9
Himachal Pradesh,Urban,Male,Secondary,68.8,68.8,0
Himachal Pradesh,Urban,Male,Secondary & Above,75.2,70.8,5.8
Himachal Pradesh,Urban,Person,All,60.8,57.2,5.9
Himachal Pradesh,Urban,Person,Diploma/Certificate Course,80.2,76.9,4.2
Himachal Pradesh,Urban,Person,Graduate,58.3,49.1,15.8
Himachal Pradesh,Urban,Person,Higher Secondary,52.7,48.3,8.4
Himachal Pradesh,Urban,Person,Literate & Upto Primary,68,67.1,1.4
Himachal Pradesh,Urban,Person,Middle,68.1,66.6,2.2
Himachal Pradesh,Urban,Person,Not Literate,54,54,0
Himachal Pradesh,Urban,Person,Post Graduate & Above,75.3,65.5,13
Himachal Pradesh,Urban,Person,Secondary,48.3,48.3,0
Himachal Pradesh,Urban,Person,Secondary & Above,58.4,53.1,9
Punjab,Rural,Female,All,18.9,17.3,8.3
Punjab,Rural,Female,Diploma/Certificate Course,46.6,27.6,40.7
Punjab,Rural,Female,Graduate,39.9,24,39.8
Punjab,Rural,Female,Higher Secondary,15.4,11.7,23.8
Punjab,Rural,Female,Literate & Upto Primary,21.2,21.2,0
Punjab,Rural,Female,Middle,17.7,17.5,1.2
Punjab,Rural,Female,Not Literate,18.1,18.1,0
Punjab,Rural,Female,Post Graduate & Above,40.9,37.2,9
Punjab,Rural,Female,Secondary,11.3,10.9,3.8
Punjab,Rural,Female,Secondary & Above,19,14.7,22.8
Punjab,Rural,Male,All,72,66.6,7.6
Punjab,Rural,Male,Diploma/Certificate Course,70.8,66.8,5.6
Punjab,Rural,Male,Graduate,74.9,59.5,20.5
Punjab,Rural,Male,Higher Secondary,71.3,60.7,14.9
Punjab,Rural,Male,Literate & Upto Primary,82.8,78.8,4.8
Punjab,Rural,Male,Middle,68.9,61.3,11
Punjab,Rural,Male,Not Literate,69.8,69.3,0.7
Punjab,Rural,Male,Post Graduate & Above,78.7,60.8,22.8
Punjab,Rural,Male,Secondary,67.7,65.4,3.4
Punjab,Rural,Male,Secondary & Above,70.1,63,10.2
Punjab,Rural,Person,All,46.3,42.7,7.7
Punjab,Rural,Person,Diploma/Certificate Course,63,54.1,14
Punjab,Rural,Person,Graduate,56.1,40.5,27.9
Punjab,Rural,Person,Higher Secondary,45.8,38.3,16.2
Punjab,Rural,Person,Literate & Upto Primary,52.6,50.6,3.9
Punjab,Rural,Person,Middle,47.9,43.3,9.5
Punjab,Rural,Person,Not Literate,38.4,38.3,0.5
Punjab,Rural,Person,Post Graduate & Above,59.8,49,18.1
Punjab,Rural,Person,Secondary,44.8,43.2,3.5
Punjab,Rural,Person,Secondary & Above,47.6,41.7,12.4
Punjab,Total,Female,All,19.1,17.3,9.4
Punjab,Total,Female,Diploma/Certificate Course,42,31.9,24.2
Punjab,Total,Female,Graduate,31.3,21.5,31.2
Punjab,Total,Female,Higher Secondary,14.2,10.8,24
Punjab,Total,Female,Literate & Upto Primary,20.3,20.3,0
Punjab,Total,Female,Middle,14.5,14.3,0.9
Punjab,Total,Female,Not Literate,19.2,19.2,0
Punjab,Total,Female,Post Graduate & Above,51.4,40,22.1
Punjab,Total,Female,Secondary,11.3,11,2.9
Punjab,Total,Female,Secondary & Above,20.1,15.9,21.1
Punjab,Total,Male,All,73.9,68.8,6.9
Punjab,Total,Male,Diploma/Certificate Course,75.6,64.1,15.2
Punjab,Total,Male,Graduate,80.2,70.4,12.2
Punjab,Total,Male,Higher Secondary,72.1,63,12.7
Punjab,Total,Male,Literate & Upto Primary,84.1,80.2,4.6
Punjab,Total,Male,Middle,71.2,65,8.7
Punjab,Total,Male,Not Literate,72.1,71.1,1.4
Punjab,Total,Male,Post Graduate & Above,82.9,73.2,11.7
Punjab,Total,Male,Secondary,67.9,65.4,3.7
Punjab,Total,Male,Secondary & Above,72.2,65.7,9
Punjab,Total,Person,All,47.7,44.2,7.4
Punjab,Total,Person,Diploma/Certificate Course,65,53.9,17
Punjab,Total,Person,Graduate,56.5,46.7,17.3
Punjab,Total,Person,Higher Secondary,45.5,39,14.3
Punjab,Total,Person,Literate & Upto Primary,53.4,51.4,3.8
Punjab,Total,Person,Middle,48.1,44.4,7.7
Punjab,Total,Person,Not Literate,40.2,39.8,1
Punjab,Total,Person,Post Graduate & Above,64.4,53.7,16.6
Punjab,Total,Person,Secondary,44.7,43.1,3.6
Punjab,Total,Person,Secondary & Above,48.9,43.4,11.2
Punjab,Urban,Female,All,19.3,17.1,11.3
Punjab,Urban,Female,Diploma/Certificate Course,38.2,35.4,7.2
Punjab,Urban,Female,Graduate,24.6,19.6,20.4
Punjab,Urban,Female,Higher Secondary,12.6,9.6,24.4
Punjab,Urban,Female,Literate & Upto Primary,18.7,18.7,0
Punjab,Urban,Female,Middle,8,8,0
Punjab,Urban,Female,Not Literate,22.4,22.4,0
Punjab,Urban,Female,Post Graduate & Above,55.7,41.2,26.1
Punjab,Urban,Female,Secondary,11.4,11.2,1.7
Punjab,Urban,Female,Secondary & Above,21.4,17.2,19.4
Punjab,Urban,Male,All,77,72.4,6
Punjab,Urban,Male,Diploma/Certificate Course,79.3,61.9,21.9
Punjab,Urban,Male,Graduate,83,76.3,8.1
Punjab,Urban,Male,Higher Secondary,73.2,66.2,9.6
Punjab,Urban,Male,Literate & Upto Primary,86.5,82.8,4.3
Punjab,Urban,Male,Middle,75.6,72,4.8
Punjab,Urban,Male,Not Literate,78.3,75.9,3
Punjab,Urban,Male,Post Graduate & Above,85.9,82,4.5
