State,Residence_Type,Gender,Attendance type,Level of education,Attendance ratio (%)
Jammu And Kashmir,Total,Person,Gross Attendance Ratio,Secondary Level,115.7
Jammu And Kashmir,Total,Person,Net Attendance Ratio,Secondary Level,69.6
Jammu And Kashmir,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,96.9
Jammu And Kashmir,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,78.4
Jammu And Kashmir,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,95.5
Jammu And Kashmir,Urban,Female,Net Attendance Ratio,Higher Secondary Level,42.1
Jammu And Kashmir,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,50.8
Jammu And Kashmir,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,38.5
Jammu And Kashmir,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.0
Jammu And Kashmir,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.0
Jammu And Kashmir,Urban,Female,Gross Attendance Ratio,Primary Level,101.7
Jammu And Kashmir,Urban,Female,Net Attendance Ratio,Primary Level,86.8
Jammu And Kashmir,Urban,Female,Gross Attendance Ratio,Secondary Level,101.9
Jammu And Kashmir,Urban,Female,Net Attendance Ratio,Secondary Level,67.2
Jammu And Kashmir,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,91.7
Jammu And Kashmir,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,79.8
Jammu And Kashmir,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,87.1
Jammu And Kashmir,Urban,Male,Net Attendance Ratio,Higher Secondary Level,38.1
Jammu And Kashmir,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,38.5
Jammu And Kashmir,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,33.7
Jammu And Kashmir,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.6
Jammu And Kashmir,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.1
Jammu And Kashmir,Urban,Male,Gross Attendance Ratio,Primary Level,105.5
Jammu And Kashmir,Urban,Male,Net Attendance Ratio,Primary Level,88.7
Jammu And Kashmir,Urban,Male,Gross Attendance Ratio,Secondary Level,117.3
Jammu And Kashmir,Urban,Male,Net Attendance Ratio,Secondary Level,65.8
Jammu And Kashmir,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,87.2
Jammu And Kashmir,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,73.7
Jammu And Kashmir,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,90.1
Jammu And Kashmir,Urban,Person,Net Attendance Ratio,Higher Secondary Level,39.6
Jammu And Kashmir,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,43.4
Jammu And Kashmir,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,35.6
Jammu And Kashmir,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.4
Jammu And Kashmir,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.2
Jammu And Kashmir,Urban,Person,Gross Attendance Ratio,Primary Level,103.9
Jammu And Kashmir,Urban,Person,Net Attendance Ratio,Primary Level,87.9
Jammu And Kashmir,Urban,Person,Gross Attendance Ratio,Secondary Level,110.5
Jammu And Kashmir,Urban,Person,Net Attendance Ratio,Secondary Level,66.4
Jammu And Kashmir,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,89.0
Jammu And Kashmir,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,76.2
Himachal Pradesh,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,114.4
Himachal Pradesh,Rural,Female,Net Attendance Ratio,Higher Secondary Level,61.8
Himachal Pradesh,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,34.5
Himachal Pradesh,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,30.2
Himachal Pradesh,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.7
Himachal Pradesh,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.1
Himachal Pradesh,Rural,Female,Gross Attendance Ratio,Primary Level,98.2
Himachal Pradesh,Rural,Female,Net Attendance Ratio,Primary Level,88.5
Himachal Pradesh,Rural,Female,Gross Attendance Ratio,Secondary Level,92.7
Himachal Pradesh,Rural,Female,Net Attendance Ratio,Secondary Level,56.7
Himachal Pradesh,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,97.0
Himachal Pradesh,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,82.4
Himachal Pradesh,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,104.4
Himachal Pradesh,Rural,Male,Net Attendance Ratio,Higher Secondary Level,69.6
Himachal Pradesh,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,29.0
Himachal Pradesh,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,22.1
Himachal Pradesh,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,94.5
Himachal Pradesh,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.3
Himachal Pradesh,Rural,Male,Gross Attendance Ratio,Primary Level,100.0
Himachal Pradesh,Rural,Male,Net Attendance Ratio,Primary Level,91.2
Himachal Pradesh,Rural,Male,Gross Attendance Ratio,Secondary Level,107.5
Himachal Pradesh,Rural,Male,Net Attendance Ratio,Secondary Level,76.1
Himachal Pradesh,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,88.4
Himachal Pradesh,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,78.8
Himachal Pradesh,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,109.1
Himachal Pradesh,Rural,Person,Net Attendance Ratio,Higher Secondary Level,65.9
Himachal Pradesh,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,32.0
Himachal Pradesh,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,26.5
Himachal Pradesh,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.0
Himachal Pradesh,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.7
Himachal Pradesh,Rural,Person,Gross Attendance Ratio,Primary Level,99.1
Himachal Pradesh,Rural,Person,Net Attendance Ratio,Primary Level,89.8
Himachal Pradesh,Rural,Person,Gross Attendance Ratio,Secondary Level,100.8
Himachal Pradesh,Rural,Person,Net Attendance Ratio,Secondary Level,67.3
Himachal Pradesh,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,92.2
Himachal Pradesh,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,80.4
Himachal Pradesh,Total,Female,Gross Attendance Ratio,Higher Secondary Level,114.6
Himachal Pradesh,Total,Female,Net Attendance Ratio,Higher Secondary Level,64.9
Himachal Pradesh,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,35.8
Himachal Pradesh,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,31.7
Himachal Pradesh,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.7
Himachal Pradesh,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.2
Himachal Pradesh,Total,Female,Gross Attendance Ratio,Primary Level,98.4
Himachal Pradesh,Total,Female,Net Attendance Ratio,Primary Level,88.9
Himachal Pradesh,Total,Female,Gross Attendance Ratio,Secondary Level,93.9
Himachal Pradesh,Total,Female,Net Attendance Ratio,Secondary Level,59.5
Himachal Pradesh,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,96.7
Himachal Pradesh,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,82.9
Himachal Pradesh,Total,Male,Gross Attendance Ratio,Higher Secondary Level,105.5
Himachal Pradesh,Total,Male,Net Attendance Ratio,Higher Secondary Level,70.0
Himachal Pradesh,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,32.1
Himachal Pradesh,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,24.0
Himachal Pradesh,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,94.6
Himachal Pradesh,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.3
Himachal Pradesh,Total,Male,Gross Attendance Ratio,Primary Level,100.1
Himachal Pradesh,Total,Male,Net Attendance Ratio,Primary Level,91.4
Himachal Pradesh,Total,Male,Gross Attendance Ratio,Secondary Level,107.1
Himachal Pradesh,Total,Male,Net Attendance Ratio,Secondary Level,75.9
Himachal Pradesh,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,88.2
Himachal Pradesh,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,78.6
Himachal Pradesh,Total,Person,Gross Attendance Ratio,Higher Secondary Level,110.0
Himachal Pradesh,Total,Person,Net Attendance Ratio,Higher Secondary Level,67.5
Himachal Pradesh,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,34.1
Himachal Pradesh,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,28.1
Himachal Pradesh,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.1
Himachal Pradesh,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.7
Himachal Pradesh,Total,Person,Gross Attendance Ratio,Primary Level,99.3
Himachal Pradesh,Total,Person,Net Attendance Ratio,Primary Level,90.1
Himachal Pradesh,Total,Person,Gross Attendance Ratio,Secondary Level,100.9
Himachal Pradesh,Total,Person,Net Attendance Ratio,Secondary Level,68.2
Himachal Pradesh,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,92.1
Himachal Pradesh,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,80.6
Himachal Pradesh,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,116.4
Himachal Pradesh,Urban,Female,Net Attendance Ratio,Higher Secondary Level,87.3
Himachal Pradesh,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,48.9
Himachal Pradesh,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,45.5
Himachal Pradesh,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.9
Himachal Pradesh,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.9
Himachal Pradesh,Urban,Female,Gross Attendance Ratio,Primary Level,100.3
Himachal Pradesh,Urban,Female,Net Attendance Ratio,Primary Level,91.8
Himachal Pradesh,Urban,Female,Gross Attendance Ratio,Secondary Level,101.6
Himachal Pradesh,Urban,Female,Net Attendance Ratio,Secondary Level,77.5
Himachal Pradesh,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,94.1
Himachal Pradesh,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,86.9
Himachal Pradesh,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,121.9
Himachal Pradesh,Urban,Male,Net Attendance Ratio,Higher Secondary Level,76.3
Himachal Pradesh,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,58.1
Himachal Pradesh,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,40.1
Himachal Pradesh,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.0
Himachal Pradesh,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.7
Himachal Pradesh,Urban,Male,Gross Attendance Ratio,Primary Level,100.7
Himachal Pradesh,Urban,Male,Net Attendance Ratio,Primary Level,93.2
Himachal Pradesh,Urban,Male,Gross Attendance Ratio,Secondary Level,101.9
Himachal Pradesh,Urban,Male,Net Attendance Ratio,Secondary Level,73.2
Himachal Pradesh,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,84.1
Himachal Pradesh,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,75.2
Himachal Pradesh,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,118.4
Himachal Pradesh,Urban,Person,Net Attendance Ratio,Higher Secondary Level,83.3
Himachal Pradesh,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,53.4
Himachal Pradesh,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,42.9
Himachal Pradesh,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,97.1
Himachal Pradesh,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.0
Himachal Pradesh,Urban,Person,Gross Attendance Ratio,Primary Level,100.5
Himachal Pradesh,Urban,Person,Net Attendance Ratio,Primary Level,92.4
Himachal Pradesh,Urban,Person,Gross Attendance Ratio,Secondary Level,101.7
Himachal Pradesh,Urban,Person,Net Attendance Ratio,Secondary Level,75.7
Himachal Pradesh,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,90.7
Himachal Pradesh,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,83.0
Punjab,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,83.8
Punjab,Rural,Female,Net Attendance Ratio,Higher Secondary Level,48.6
Punjab,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,23.5
Punjab,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,19.5
Punjab,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.8
Punjab,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.6
Punjab,Rural,Female,Gross Attendance Ratio,Primary Level,107.7
Punjab,Rural,Female,Net Attendance Ratio,Primary Level,91.5
Punjab,Rural,Female,Gross Attendance Ratio,Secondary Level,92.4
Punjab,Rural,Female,Net Attendance Ratio,Secondary Level,73.9
Punjab,Rural,Female,Gross Attendance Ratio,Upper Primary/Middle Level,86.4
Punjab,Rural,Female,Net Attendance Ratio,Upper Primary/Middle Level,72.2
Punjab,Rural,Male,Gross Attendance Ratio,Higher Secondary Level,77.8
Punjab,Rural,Male,Net Attendance Ratio,Higher Secondary Level,47.2
Punjab,Rural,Male,Gross Attendance Ratio,Post Higher Secondary Level,17.7
Punjab,Rural,Male,Net Attendance Ratio,Post Higher Secondary Level,15.3
Punjab,Rural,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.9
Punjab,Rural,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.0
Punjab,Rural,Male,Gross Attendance Ratio,Primary Level,102.7
Punjab,Rural,Male,Net Attendance Ratio,Primary Level,90.9
Punjab,Rural,Male,Gross Attendance Ratio,Secondary Level,94.3
Punjab,Rural,Male,Net Attendance Ratio,Secondary Level,61.4
Punjab,Rural,Male,Gross Attendance Ratio,Upper Primary/Middle Level,100.6
Punjab,Rural,Male,Net Attendance Ratio,Upper Primary/Middle Level,83.3
Punjab,Rural,Person,Gross Attendance Ratio,Higher Secondary Level,79.8
Punjab,Rural,Person,Net Attendance Ratio,Higher Secondary Level,47.7
Punjab,Rural,Person,Gross Attendance Ratio,Post Higher Secondary Level,20.2
Punjab,Rural,Person,Net Attendance Ratio,Post Higher Secondary Level,17.1
Punjab,Rural,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,101.0
Punjab,Rural,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.4
Punjab,Rural,Person,Gross Attendance Ratio,Primary Level,104.9
Punjab,Rural,Person,Net Attendance Ratio,Primary Level,91.1
Punjab,Rural,Person,Gross Attendance Ratio,Secondary Level,93.4
Punjab,Rural,Person,Net Attendance Ratio,Secondary Level,67.0
Punjab,Rural,Person,Gross Attendance Ratio,Upper Primary/Middle Level,94.7
Punjab,Rural,Person,Net Attendance Ratio,Upper Primary/Middle Level,78.7
Punjab,Total,Female,Gross Attendance Ratio,Higher Secondary Level,78.3
Punjab,Total,Female,Net Attendance Ratio,Higher Secondary Level,49.0
Punjab,Total,Female,Gross Attendance Ratio,Post Higher Secondary Level,27.2
Punjab,Total,Female,Net Attendance Ratio,Post Higher Secondary Level,23.0
Punjab,Total,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,96.7
Punjab,Total,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,89.0
Punjab,Total,Female,Gross Attendance Ratio,Primary Level,101.4
Punjab,Total,Female,Net Attendance Ratio,Primary Level,87.6
Punjab,Total,Female,Gross Attendance Ratio,Secondary Level,96.7
Punjab,Total,Female,Net Attendance Ratio,Secondary Level,70.3
Punjab,Total,Female,Gross Attendance Ratio,Upper Primary/Middle Level,88.3
Punjab,Total,Female,Net Attendance Ratio,Upper Primary/Middle Level,74.1
Punjab,Total,Male,Gross Attendance Ratio,Higher Secondary Level,80.0
Punjab,Total,Male,Net Attendance Ratio,Higher Secondary Level,50.1
Punjab,Total,Male,Gross Attendance Ratio,Post Higher Secondary Level,19.9
Punjab,Total,Male,Net Attendance Ratio,Post Higher Secondary Level,17.6
Punjab,Total,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,100.9
Punjab,Total,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,92.3
Punjab,Total,Male,Gross Attendance Ratio,Primary Level,101.5
Punjab,Total,Male,Net Attendance Ratio,Primary Level,89.8
Punjab,Total,Male,Gross Attendance Ratio,Secondary Level,94.5
Punjab,Total,Male,Net Attendance Ratio,Secondary Level,61.7
Punjab,Total,Male,Gross Attendance Ratio,Upper Primary/Middle Level,99.8
Punjab,Total,Male,Net Attendance Ratio,Upper Primary/Middle Level,81.1
Punjab,Total,Person,Gross Attendance Ratio,Higher Secondary Level,79.4
Punjab,Total,Person,Net Attendance Ratio,Higher Secondary Level,49.7
Punjab,Total,Person,Gross Attendance Ratio,Post Higher Secondary Level,22.8
Punjab,Total,Person,Net Attendance Ratio,Post Higher Secondary Level,19.8
Punjab,Total,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,99.1
Punjab,Total,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,90.9
Punjab,Total,Person,Gross Attendance Ratio,Primary Level,101.5
Punjab,Total,Person,Net Attendance Ratio,Primary Level,88.8
Punjab,Total,Person,Gross Attendance Ratio,Secondary Level,95.4
Punjab,Total,Person,Net Attendance Ratio,Secondary Level,65.3
Punjab,Total,Person,Gross Attendance Ratio,Upper Primary/Middle Level,94.9
Punjab,Total,Person,Net Attendance Ratio,Upper Primary/Middle Level,78.1
Punjab,Urban,Female,Gross Attendance Ratio,Higher Secondary Level,68.1
Punjab,Urban,Female,Net Attendance Ratio,Higher Secondary Level,49.6
Punjab,Urban,Female,Gross Attendance Ratio,Post Higher Secondary Level,34.4
Punjab,Urban,Female,Net Attendance Ratio,Post Higher Secondary Level,29.7
Punjab,Urban,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,91.0
Punjab,Urban,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,84.3
Punjab,Urban,Female,Gross Attendance Ratio,Primary Level,90.5
Punjab,Urban,Female,Net Attendance Ratio,Primary Level,80.9
Punjab,Urban,Female,Gross Attendance Ratio,Secondary Level,111.1
Punjab,Urban,Female,Net Attendance Ratio,Secondary Level,58.4
Punjab,Urban,Female,Gross Attendance Ratio,Upper Primary/Middle Level,92.1
Punjab,Urban,Female,Net Attendance Ratio,Upper Primary/Middle Level,77.8
Punjab,Urban,Male,Gross Attendance Ratio,Higher Secondary Level,85.6
Punjab,Urban,Male,Net Attendance Ratio,Higher Secondary Level,57.7
Punjab,Urban,Male,Gross Attendance Ratio,Post Higher Secondary Level,23.3
Punjab,Urban,Male,Net Attendance Ratio,Post Higher Secondary Level,21.1
Punjab,Urban,Male,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,98.9
Punjab,Urban,Male,Net Attendance Ratio,Primary And Upper Primary/Middle Level,91.1
Punjab,Urban,Male,Gross Attendance Ratio,Primary Level,99.3
Punjab,Urban,Male,Net Attendance Ratio,Primary Level,87.9
Punjab,Urban,Male,Gross Attendance Ratio,Secondary Level,94.9
Punjab,Urban,Male,Net Attendance Ratio,Secondary Level,62.2
Punjab,Urban,Male,Gross Attendance Ratio,Upper Primary/Middle Level,98.0
Punjab,Urban,Male,Net Attendance Ratio,Upper Primary/Middle Level,76.2
Punjab,Urban,Person,Gross Attendance Ratio,Higher Secondary Level,78.4
Punjab,Urban,Person,Net Attendance Ratio,Higher Secondary Level,54.4
Punjab,Urban,Person,Gross Attendance Ratio,Post Higher Secondary Level,27.3
Punjab,Urban,Person,Net Attendance Ratio,Post Higher Secondary Level,24.3
Punjab,Urban,Person,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,95.4
Punjab,Urban,Person,Net Attendance Ratio,Primary And Upper Primary/Middle Level,88.0
Punjab,Urban,Person,Gross Attendance Ratio,Primary Level,95.4
Punjab,Urban,Person,Net Attendance Ratio,Primary Level,84.8
Punjab,Urban,Person,Gross Attendance Ratio,Secondary Level,100.7
Punjab,Urban,Person,Net Attendance Ratio,Secondary Level,60.8
Punjab,Urban,Person,Gross Attendance Ratio,Upper Primary/Middle Level,95.3
Punjab,Urban,Person,Net Attendance Ratio,Upper Primary/Middle Level,76.9
Uttarakhand,Rural,Female,Gross Attendance Ratio,Higher Secondary Level,98.5
Uttarakhand,Rural,Female,Net Attendance Ratio,Higher Secondary Level,55.4
Uttarakhand,Rural,Female,Gross Attendance Ratio,Post Higher Secondary Level,27.3
Uttarakhand,Rural,Female,Net Attendance Ratio,Post Higher Secondary Level,24.9
Uttarakhand,Rural,Female,Gross Attendance Ratio,Primary And Upper Primary/Middle Level,105.4
Uttarakhand,Rural,Female,Net Attendance Ratio,Primary And Upper Primary/Middle Level,93.5
Uttarakhand,Rural,Female,Gross Attendance Ratio,Primary Level,95.9
Uttarakhand,Rural,Female,Net Attendance Ratio,Primary Level,84.8
Uttarakhand,Rural,Female,Gross Attendance Ratio,Secondary Level,86.1
Uttarakhand,Rural,Female,Net Attendance Ratio,Secondary Level,54.5
