State,Residence_Type,Gender,Age group,Attendance ratio
Punjab,Total,Person,3-5 years,61.6
Punjab,Total,Person,5-29 years,53.4
Punjab,Total,Person,6-10 years,96.9
Punjab,Urban,Female,11-13 years,99.7
Punjab,Urban,Female,14-17 years,84
Punjab,Urban,Female,18-23 years,37.9
Punjab,Urban,Female,24-29 years,1.5
Punjab,Urban,Female,30-35 years,1
Punjab,Urban,Female,3-35 years,37.2
Punjab,Urban,Female,3-5 years,61.5
Punjab,Urban,Female,5-29 years,48.1
Punjab,Urban,Female,6-10 years,86.9
Punjab,Urban,Male,11-13 years,98.5
Punjab,Urban,Male,14-17 years,92.8
Punjab,Urban,Male,18-23 years,32.5
Punjab,Urban,Male,24-29 years,1.4
Punjab,Urban,Male,30-35 years,0
Punjab,Urban,Male,3-35 years,43
Punjab,Urban,Male,3-5 years,66.7
Punjab,Urban,Male,5-29 years,52.7
Punjab,Urban,Male,6-10 years,97.8
Punjab,Urban,Person,11-13 years,99
Punjab,Urban,Person,14-17 years,89.4
Punjab,Urban,Person,18-23 years,34.5
Punjab,Urban,Person,24-29 years,1.4
Punjab,Urban,Person,30-35 years,0.5
Punjab,Urban,Person,3-35 years,40.4
Punjab,Urban,Person,3-5 years,64.6
Punjab,Urban,Person,5-29 years,50.7
Punjab,Urban,Person,6-10 years,93
Chandigarh,Rural,Female,11-13 years,100
Chandigarh,Rural,Female,14-17 years,100
Chandigarh,Rural,Female,18-23 years,7.5
Chandigarh,Rural,Female,24-29 years,0.2
Chandigarh,Rural,Female,30-35 years,0.4
Chandigarh,Rural,Female,3-35 years,31.7
Chandigarh,Rural,Female,3-5 years,0.5
Chandigarh,Rural,Female,5-29 years,42.7
Chandigarh,Rural,Female,6-10 years,100
Chandigarh,Rural,Male,11-13 years,100
Chandigarh,Rural,Male,14-17 years,99.9
Chandigarh,Rural,Male,18-23 years,53.3
Chandigarh,Rural,Male,24-29 years,0.2
Chandigarh,Rural,Male,30-35 years,0
Chandigarh,Rural,Male,3-35 years,48.1
Chandigarh,Rural,Male,3-5 years,100
Chandigarh,Rural,Male,5-29 years,58.2
Chandigarh,Rural,Male,6-10 years,99.9
Chandigarh,Rural,Person,11-13 years,100
Chandigarh,Rural,Person,14-17 years,100
Chandigarh,Rural,Person,18-23 years,30.6
Chandigarh,Rural,Person,24-29 years,0.2
Chandigarh,Rural,Person,30-35 years,0.2
Chandigarh,Rural,Person,3-35 years,40.6
Chandigarh,Rural,Person,3-5 years,86.4
Chandigarh,Rural,Person,5-29 years,51.6
Chandigarh,Rural,Person,6-10 years,99.9
Chandigarh,Total,Female,11-13 years,92.5
Chandigarh,Total,Female,14-17 years,100
Chandigarh,Total,Female,18-23 years,50
Chandigarh,Total,Female,24-29 years,1.1
Chandigarh,Total,Female,30-35 years,0.3
Chandigarh,Total,Female,3-35 years,52.2
Chandigarh,Total,Female,3-5 years,98.1
Chandigarh,Total,Female,5-29 years,59.9
Chandigarh,Total,Female,6-10 years,100
Chandigarh,Total,Male,11-13 years,100
Chandigarh,Total,Male,14-17 years,90.7
Chandigarh,Total,Male,18-23 years,64.3
Chandigarh,Total,Male,24-29 years,3.5
Chandigarh,Total,Male,30-35 years,0
Chandigarh,Total,Male,3-35 years,57.6
Chandigarh,Total,Male,3-5 years,89
Chandigarh,Total,Male,5-29 years,65.8
Chandigarh,Total,Male,6-10 years,100
Chandigarh,Total,Person,11-13 years,96
Chandigarh,Total,Person,14-17 years,94.8
Chandigarh,Total,Person,18-23 years,58.7
Chandigarh,Total,Person,24-29 years,2.3
Chandigarh,Total,Person,30-35 years,0.1
Chandigarh,Total,Person,3-35 years,55
Chandigarh,Total,Person,3-5 years,94.7
Chandigarh,Total,Person,5-29 years,63.1
Chandigarh,Total,Person,6-10 years,100
Chandigarh,Urban,Female,11-13 years,92.5
Chandigarh,Urban,Female,14-17 years,100
Chandigarh,Urban,Female,18-23 years,52
Chandigarh,Urban,Female,24-29 years,1.2
Chandigarh,Urban,Female,30-35 years,0.3
Chandigarh,Urban,Female,3-35 years,53
Chandigarh,Urban,Female,3-5 years,99.8
Chandigarh,Urban,Female,5-29 years,60.5
Chandigarh,Urban,Female,6-10 years,100
Chandigarh,Urban,Male,11-13 years,100
Chandigarh,Urban,Male,14-17 years,90.4
Chandigarh,Urban,Male,18-23 years,64.7
Chandigarh,Urban,Male,24-29 years,3.7
Chandigarh,Urban,Male,30-35 years,0
Chandigarh,Urban,Male,3-35 years,58
Chandigarh,Urban,Male,3-5 years,86.7
Chandigarh,Urban,Male,5-29 years,66.1
Chandigarh,Urban,Male,6-10 years,100
Chandigarh,Urban,Person,11-13 years,96
Chandigarh,Urban,Person,14-17 years,94.7
Chandigarh,Urban,Person,18-23 years,59.8
Chandigarh,Urban,Person,24-29 years,2.4
Chandigarh,Urban,Person,30-35 years,0.1
Chandigarh,Urban,Person,3-35 years,55.6
Chandigarh,Urban,Person,3-5 years,95.4
Chandigarh,Urban,Person,5-29 years,63.5
Chandigarh,Urban,Person,6-10 years,100
Uttarakhand,Rural,Female,11-13 years,98.9
Uttarakhand,Rural,Female,14-17 years,92
Uttarakhand,Rural,Female,18-23 years,37.8
Uttarakhand,Rural,Female,24-29 years,0.6
Uttarakhand,Rural,Female,30-35 years,0
Uttarakhand,Rural,Female,3-35 years,48.1
Uttarakhand,Rural,Female,3-5 years,42
Uttarakhand,Rural,Female,5-29 years,58.3
Uttarakhand,Rural,Female,6-10 years,99.9
Uttarakhand,Rural,Male,11-13 years,97.3
Uttarakhand,Rural,Male,14-17 years,93.8
Uttarakhand,Rural,Male,18-23 years,44.4
Uttarakhand,Rural,Male,24-29 years,1.1
Uttarakhand,Rural,Male,30-35 years,0
Uttarakhand,Rural,Male,3-35 years,49.7
Uttarakhand,Rural,Male,3-5 years,18.1
Uttarakhand,Rural,Male,5-29 years,65.3
Uttarakhand,Rural,Male,6-10 years,98.4
Uttarakhand,Rural,Person,11-13 years,98
Uttarakhand,Rural,Person,14-17 years,93
Uttarakhand,Rural,Person,18-23 years,41.1
Uttarakhand,Rural,Person,24-29 years,0.8
Uttarakhand,Rural,Person,30-35 years,0
Uttarakhand,Rural,Person,3-35 years,49
Uttarakhand,Rural,Person,3-5 years,27.1
Uttarakhand,Rural,Person,5-29 years,61.9
Uttarakhand,Rural,Person,6-10 years,99.1
Uttarakhand,Total,Female,11-13 years,98.8
Uttarakhand,Total,Female,14-17 years,92.7
Uttarakhand,Total,Female,18-23 years,38.5
Uttarakhand,Total,Female,24-29 years,1
Uttarakhand,Total,Female,30-35 years,0.3
Uttarakhand,Total,Female,3-35 years,46.5
Uttarakhand,Total,Female,3-5 years,44.1
Uttarakhand,Total,Female,5-29 years,57
Uttarakhand,Total,Female,6-10 years,99.7
Uttarakhand,Total,Male,11-13 years,97.1
Uttarakhand,Total,Male,14-17 years,92.3
Uttarakhand,Total,Male,18-23 years,48.9
Uttarakhand,Total,Male,24-29 years,1.8
Uttarakhand,Total,Male,30-35 years,0.3
Uttarakhand,Total,Male,3-35 years,49.3
Uttarakhand,Total,Male,3-5 years,18.1
Uttarakhand,Total,Male,5-29 years,64.3
Uttarakhand,Total,Male,6-10 years,98.7
Uttarakhand,Total,Person,11-13 years,97.8
Uttarakhand,Total,Person,14-17 years,92.5
Uttarakhand,Total,Person,18-23 years,43.9
Uttarakhand,Total,Person,24-29 years,1.4
Uttarakhand,Total,Person,30-35 years,0.3
Uttarakhand,Total,Person,3-35 years,48
Uttarakhand,Total,Person,3-5 years,28.7
Uttarakhand,Total,Person,5-29 years,60.9
Uttarakhand,Total,Person,6-10 years,99.1
Uttarakhand,Urban,Female,11-13 years,98.4
Uttarakhand,Urban,Female,14-17 years,94.5
Uttarakhand,Urban,Female,18-23 years,41
Uttarakhand,Urban,Female,24-29 years,2
Uttarakhand,Urban,Female,30-35 years,1
Uttarakhand,Urban,Female,3-35 years,42
Uttarakhand,Urban,Female,3-5 years,48.6
Uttarakhand,Urban,Female,5-29 years,53.3
Uttarakhand,Urban,Female,6-10 years,98.5
Uttarakhand,Urban,Male,11-13 years,96.5
Uttarakhand,Urban,Male,14-17 years,87.8
Uttarakhand,Urban,Male,18-23 years,60.8
Uttarakhand,Urban,Male,24-29 years,3.2
Uttarakhand,Urban,Male,30-35 years,0.9
Uttarakhand,Urban,Male,3-35 years,48.2
Uttarakhand,Urban,Male,3-5 years,18.1
Uttarakhand,Urban,Male,5-29 years,61.8
Uttarakhand,Urban,Male,6-10 years,99.5
Uttarakhand,Urban,Person,11-13 years,97.2
Uttarakhand,Urban,Person,14-17 years,91
Uttarakhand,Urban,Person,18-23 years,52.2
Uttarakhand,Urban,Person,24-29 years,2.6
Uttarakhand,Urban,Person,30-35 years,0.9
Uttarakhand,Urban,Person,3-35 years,45.4
Uttarakhand,Urban,Person,3-5 years,33.4
Uttarakhand,Urban,Person,5-29 years,57.9
Uttarakhand,Urban,Person,6-10 years,99.1
Haryana,Rural,Female,11-13 years,92.4
Haryana,Rural,Female,14-17 years,82.9
Haryana,Rural,Female,18-23 years,21.5
Haryana,Rural,Female,24-29 years,3.7
Haryana,Rural,Female,30-35 years,0.5
Haryana,Rural,Female,3-35 years,40.8
Haryana,Rural,Female,3-5 years,48
Haryana,Rural,Female,5-29 years,50.4
Haryana,Rural,Female,6-10 years,98.2
Haryana,Rural,Male,11-13 years,94.7
Haryana,Rural,Male,14-17 years,79.6
Haryana,Rural,Male,18-23 years,30.4
Haryana,Rural,Male,24-29 years,2
Haryana,Rural,Male,30-35 years,0
Haryana,Rural,Male,3-35 years,47.3
Haryana,Rural,Male,3-5 years,39
Haryana,Rural,Male,5-29 years,56.6
Haryana,Rural,Male,6-10 years,99.2
Haryana,Rural,Person,11-13 years,93.8
Haryana,Rural,Person,14-17 years,80.9
Haryana,Rural,Person,18-23 years,26.7
Haryana,Rural,Person,24-29 years,2.8
Haryana,Rural,Person,30-35 years,0.3
Haryana,Rural,Person,3-35 years,44.5
Haryana,Rural,Person,3-5 years,43.6
Haryana,Rural,Person,5-29 years,54
Haryana,Rural,Person,6-10 years,98.8
Haryana,Total,Female,11-13 years,94.3
Haryana,Total,Female,14-17 years,85.4
Haryana,Total,Female,18-23 years,27.9
Haryana,Total,Female,24-29 years,3
Haryana,Total,Female,30-35 years,0.5
Haryana,Total,Female,3-35 years,41.9
Haryana,Total,Female,3-5 years,49.2
Haryana,Total,Female,5-29 years,51.1
Haryana,Total,Female,6-10 years,98.6
Haryana,Total,Male,11-13 years,95
Haryana,Total,Male,14-17 years,82.8
Haryana,Total,Male,18-23 years,34.4
Haryana,Total,Male,24-29 years,2.6
Haryana,Total,Male,30-35 years,0
Haryana,Total,Male,3-35 years,47.3
Haryana,Total,Male,3-5 years,44.4
Haryana,Total,Male,5-29 years,56.9
Haryana,Total,Male,6-10 years,98.2
Haryana,Total,Person,11-13 years,94.7
Haryana,Total,Person,14-17 years,83.8
Haryana,Total,Person,18-23 years,31.5
Haryana,Total,Person,24-29 years,2.8
Haryana,Total,Person,30-35 years,0.3
Haryana,Total,Person,3-35 years,45
Haryana,Total,Person,3-5 years,46.7
Haryana,Total,Person,5-29 years,54.5
Haryana,Total,Person,6-10 years,98.3
Haryana,Urban,Female,11-13 years,99
Haryana,Urban,Female,14-17 years,91.8
Haryana,Urban,Female,18-23 years,40.3
Haryana,Urban,Female,24-29 years,1.7
Haryana,Urban,Female,30-35 years,0.5
Haryana,Urban,Female,3-35 years,44.2
Haryana,Urban,Female,3-5 years,52.3
Haryana,Urban,Female,5-29 years,52.4
Haryana,Urban,Female,6-10 years,99.4
Haryana,Urban,Male,11-13 years,95.7
Haryana,Urban,Male,14-17 years,90.1
Haryana,Urban,Male,18-23 years,44.6
Haryana,Urban,Male,24-29 years,3.6
Haryana,Urban,Male,30-35 years,0
Haryana,Urban,Male,3-35 years,47.3
Haryana,Urban,Male,3-5 years,53.7
Haryana,Urban,Male,5-29 years,57.6
Haryana,Urban,Male,6-10 years,96
Haryana,Urban,Person,11-13 years,97.1
Haryana,Urban,Person,14-17 years,90.7
Haryana,Urban,Person,18-23 years,42.5
Haryana,Urban,Person,24-29 years,2.7
Haryana,Urban,Person,30-35 years,0.2
Haryana,Urban,Person,3-35 years,46
Haryana,Urban,Person,3-5 years,53.1
Haryana,Urban,Person,5-29 years,55.4
Haryana,Urban,Person,6-10 years,97.4
Delhi,Rural,Female,11-13 years,100
Delhi,Rural,Female,14-17 years,99.5
Delhi,Rural,Female,18-23 years,29.1
Delhi,Rural,Female,24-29 years,0.6
Delhi,Rural,Female,30-35 years,0
Delhi,Rural,Female,3-35 years,50.6
Delhi,Rural,Female,3-5 years,3.7
Delhi,Rural,Female,5-29 years,50.7
Delhi,Rural,Female,6-10 years,81.2
Delhi,Rural,Male,11-13 years,62.7
Delhi,Rural,Male,14-17 years,85.5
Delhi,Rural,Male,18-23 years,14.5
Delhi,Rural,Male,24-29 years,2.2
Delhi,Rural,Male,30-35 years,0
Delhi,Rural,Male,3-35 years,27.1
Delhi,Rural,Male,3-5 years,6
Delhi,Rural,Male,5-29 years,29.4
Delhi,Rural,Male,6-10 years,100
Delhi,Rural,Person,11-13 years,89.8
Delhi,Rural,Person,14-17 years,92.9
Delhi,Rural,Person,18-23 years,17.9
Delhi,Rural,Person,24-29 years,1.4
Delhi,Rural,Person,30-35 years,0
Delhi,Rural,Person,3-35 years,35.2
Delhi,Rural,Person,3-5 years,5.4
Delhi,Rural,Person,5-29 years,37.1
Delhi,Rural,Person,6-10 years,94
Delhi,Total,Female,11-13 years,83.1
Delhi,Total,Female,14-17 years,89.5
Delhi,Total,Female,18-23 years,35.6
Delhi,Total,Female,24-29 years,2.3
Delhi,Total,Female,30-35 years,1.4
Delhi,Total,Female,3-35 years,40.9
Delhi,Total,Female,3-5 years,50.8
Delhi,Total,Female,5-29 years,48.4
Delhi,Total,Female,6-10 years,98.1
Delhi,Total,Male,11-13 years,96
Delhi,Total,Male,14-17 years,90.9
Delhi,Total,Male,18-23 years,28.7
Delhi,Total,Male,24-29 years,5.1
Delhi,Total,Male,30-35 years,0.1
Delhi,Total,Male,3-35 years,40.5
Delhi,Total,Male,3-5 years,45.5
Delhi,Total,Male,5-29 years,48.5
Delhi,Total,Male,6-10 years,99.7
Delhi,Total,Person,11-13 years,89.6
Delhi,Total,Person,14-17 years,90.4
Delhi,Total,Person,18-23 years,31.6
Delhi,Total,Person,24-29 years,3.9
Delhi,Total,Person,30-35 years,0.7
Delhi,Total,Person,3-35 years,40.7
Delhi,Total,Person,3-5 years,48.1
Delhi,Total,Person,5-29 years,48.5
Delhi,Total,Person,6-10 years,99
Delhi,Urban,Female,11-13 years,82.6
Delhi,Urban,Female,14-17 years,88.8
Delhi,Urban,Female,18-23 years,35.9
Delhi,Urban,Female,24-29 years,2.4
Delhi,Urban,Female,30-35 years,1.4
Delhi,Urban,Female,3-35 years,40.6
Delhi,Urban,Female,3-5 years,51.1
Delhi,Urban,Female,5-29 years,48.4
Delhi,Urban,Female,6-10 years,98.3
Delhi,Urban,Male,11-13 years,96.3
Delhi,Urban,Male,14-17 years,91.1
Delhi,Urban,Male,18-23 years,30.2
Delhi,Urban,Male,24-29 years,5.2
Delhi,Urban,Male,30-35 years,0.1
Delhi,Urban,Male,3-35 years,41
Delhi,Urban,Male,3-5 years,46.2
Delhi,Urban,Male,5-29 years,49.3
Delhi,Urban,Male,6-10 years,99.6
Delhi,Urban,Person,11-13 years,89.5
Delhi,Urban,Person,14-17 years,90.3
Delhi,Urban,Person,18-23 years,32.7
Delhi,Urban,Person,24-29 years,4
Delhi,Urban,Person,30-35 years,0.7
Delhi,Urban,Person,3-35 years,40.8
Delhi,Urban,Person,3-5 years,48.6
Delhi,Urban,Person,5-29 years,48.9
Delhi,Urban,Person,6-10 years,99.1
Rajasthan,Rural,Female,11-13 years,88.5
Rajasthan,Rural,Female,14-17 years,69.4
Rajasthan,Rural,Female,18-23 years,23.2
Rajasthan,Rural,Female,24-29 years,2.1
Rajasthan,Rural,Female,30-35 years,0.1
Rajasthan,Rural,Female,3-35 years,42.1
Rajasthan,Rural,Female,3-5 years,31.5
Rajasthan,Rural,Female,5-29 years,51.2
Rajasthan,Rural,Female,6-10 years,91.7
Rajasthan,Rural,Male,11-13 years,95.2
Rajasthan,Rural,Male,14-17 years,78.4
Rajasthan,Rural,Male,18-23 years,38.3
Rajasthan,Rural,Male,24-29 years,3.4
Rajasthan,Rural,Male,30-35 years,0.2
Rajasthan,Rural,Male,3-35 years,48.7
Rajasthan,Rural,Male,3-5 years,34.4
Rajasthan,Rural,Male,5-29 years,59.2
Rajasthan,Rural,Male,6-10 years,92.7
Rajasthan,Rural,Person,11-13 years,91.9
Rajasthan,Rural,Person,14-17 years,74.2
Rajasthan,Rural,Person,18-23 years,31
Rajasthan,Rural,Person,24-29 years,2.7
Rajasthan,Rural,Person,30-35 years,0.2
Rajasthan,Rural,Person,3-35 years,45.6
Rajasthan,Rural,Person,3-5 years,33.1
Rajasthan,Rural,Person,5-29 years,55.4
Rajasthan,Rural,Person,6-10 years,92.3
Rajasthan,Total,Female,11-13 years,90.2
Rajasthan,Total,Female,14-17 years,71.7
Rajasthan,Total,Female,18-23 years,27.9
Rajasthan,Total,Female,24-29 years,2.6
Rajasthan,Total,Female,30-35 years,0.1
Rajasthan,Total,Female,3-35 years,43
Rajasthan,Total,Female,3-5 years,33
Rajasthan,Total,Female,5-29 years,52.1
Rajasthan,Total,Female,6-10 years,92.5
Rajasthan,Total,Male,11-13 years,95.8
Rajasthan,Total,Male,14-17 years,79.5
Rajasthan,Total,Male,18-23 years,40.8
Rajasthan,Total,Male,24-29 years,4
Rajasthan,Total,Male,30-35 years,0.4
Rajasthan,Total,Male,3-35 years,49.3
Rajasthan,Total,Male,3-5 years,38.1
Rajasthan,Total,Male,5-29 years,59.2
Rajasthan,Total,Male,6-10 years,93.6
Rajasthan,Total,Person,11-13 years,93
Rajasthan,Total,Person,14-17 years,75.9
Rajasthan,Total,Person,18-23 years,34.8
Rajasthan,Total,Person,24-29 years,3.3
Rajasthan,Total,Person,30-35 years,0.3
