State,Residence_Type,Gender,Course type,Institution type,Distribution of students by institution type and course type (%),Sample number of students under survey by institution type and course type
Jammu And Kashmir,Rural,Persons,Secondary and Higher Secondary,Private aided,1.2,2698.6032305452
Jammu And Kashmir,Rural,Persons,Secondary and Higher Secondary,Private Unaided,3.4,2698.6032305452
Jammu And Kashmir,Rural,Persons,Upper Primary,Government,13.2,2698.6032305452
Jammu And Kashmir,Rural,Persons,Upper Primary,Private aided,1.4,2698.6032305452
Jammu And Kashmir,Rural,Persons,Upper Primary,Private Unaided,3.7,2698.6032305452
Jammu And Kashmir,Total,Female,Diploma/Certificate below graduate level,Government,1.5,1892.6798951975
Jammu And Kashmir,Total,Female,Diploma/Certificate below graduate level,Private aided,0.0,1892.6798951975
Jammu And Kashmir,Total,Female,Diploma/Certificate below graduate level,Private Unaided,0.2,1892.6798951975
Jammu And Kashmir,Total,Female,Graduate and above level including diploma,Government,12.9,1892.6798951975
Jammu And Kashmir,Total,Female,Graduate and above level including diploma,Private aided,0.4,1892.6798951975
Jammu And Kashmir,Total,Female,Graduate and above level including diploma,Private Unaided,0.9,1892.6798951975
Jammu And Kashmir,Total,Female,Pre-Primary,Government,1.6,1892.6798951975
Jammu And Kashmir,Total,Female,Pre-Primary,Private aided,1.1,1892.6798951975
Jammu And Kashmir,Total,Female,Pre-Primary,Private Unaided,2.9,1892.6798951975
Jammu And Kashmir,Total,Female,Primary,Government,19.5,1892.6798951975
Jammu And Kashmir,Total,Female,Primary,Private aided,4.1,1892.6798951975
Jammu And Kashmir,Total,Female,Primary,Private Unaided,11.0,1892.6798951975
Jammu And Kashmir,Total,Female,Secondary and Higher Secondary,Government,18.6,1892.6798951975
Jammu And Kashmir,Total,Female,Secondary and Higher Secondary,Private aided,1.2,1892.6798951975
Jammu And Kashmir,Total,Female,Secondary and Higher Secondary,Private Unaided,5.2,1892.6798951975
Jammu And Kashmir,Total,Female,Upper Primary,Government,12.0,1892.6798951975
Jammu And Kashmir,Total,Female,Upper Primary,Private aided,1.7,1892.6798951975
Jammu And Kashmir,Total,Female,Upper Primary,Private Unaided,5.2,1892.6798951975
Jammu And Kashmir,Total,Male,Diploma/Certificate below graduate level,Government,1.7,2577.3702965609
Jammu And Kashmir,Total,Male,Diploma/Certificate below graduate level,Private aided,0.1,2577.3702965609
Jammu And Kashmir,Total,Male,Diploma/Certificate below graduate level,Private Unaided,0.2,2577.3702965609
Jammu And Kashmir,Total,Male,Graduate and above level including diploma,Government,12.6,2577.3702965609
Jammu And Kashmir,Total,Male,Graduate and above level including diploma,Private aided,0.3,2577.3702965609
Jammu And Kashmir,Total,Male,Graduate and above level including diploma,Private Unaided,0.4,2577.3702965609
Jammu And Kashmir,Total,Male,Pre-Primary,Government,2.1,2577.3702965609
Jammu And Kashmir,Total,Male,Pre-Primary,Private aided,0.4,2577.3702965609
Jammu And Kashmir,Total,Male,Pre-Primary,Private Unaided,2.2,2577.3702965609
Jammu And Kashmir,Total,Male,Primary,Government,18.4,2577.3702965609
Jammu And Kashmir,Total,Male,Primary,Private aided,4.2,2577.3702965609
Jammu And Kashmir,Total,Male,Primary,Private Unaided,15.8,2577.3702965609
Jammu And Kashmir,Total,Male,Secondary and Higher Secondary,Government,18.6,2577.3702965609
Jammu And Kashmir,Total,Male,Secondary and Higher Secondary,Private aided,1.9,2577.3702965609
Jammu And Kashmir,Total,Male,Secondary and Higher Secondary,Private Unaided,4.1,2577.3702965609
Jammu And Kashmir,Total,Male,Upper Primary,Government,10.6,2577.3702965609
Jammu And Kashmir,Total,Male,Upper Primary,Private aided,1.7,2577.3702965609
Jammu And Kashmir,Total,Male,Upper Primary,Private Unaided,4.6,2577.3702965609
Jammu And Kashmir,Total,Persons,Diploma/Certificate below graduate level,Government,1.6,4470.0501917584
Jammu And Kashmir,Total,Persons,Diploma/Certificate below graduate level,Private aided,0.0,4470.0501917584
Jammu And Kashmir,Total,Persons,Diploma/Certificate below graduate level,Private Unaided,0.2,4470.0501917584
Jammu And Kashmir,Total,Persons,Graduate and above level including diploma,Government,12.7,4470.0501917584
Jammu And Kashmir,Total,Persons,Graduate and above level including diploma,Private aided,0.3,4470.0501917584
Jammu And Kashmir,Total,Persons,Graduate and above level including diploma,Private Unaided,0.6,4470.0501917584
Jammu And Kashmir,Total,Persons,Pre-Primary,Government,1.9,4470.0501917584
Jammu And Kashmir,Total,Persons,Pre-Primary,Private aided,0.7,4470.0501917584
Jammu And Kashmir,Total,Persons,Pre-Primary,Private Unaided,2.5,4470.0501917584
Jammu And Kashmir,Total,Persons,Primary,Government,18.8,4470.0501917584
Jammu And Kashmir,Total,Persons,Primary,Private aided,4.1,4470.0501917584
Jammu And Kashmir,Total,Persons,Primary,Private Unaided,13.7,4470.0501917584
Jammu And Kashmir,Total,Persons,Secondary and Higher Secondary,Government,18.6,4470.0501917584
Jammu And Kashmir,Total,Persons,Secondary and Higher Secondary,Private aided,1.6,4470.0501917584
Jammu And Kashmir,Total,Persons,Secondary and Higher Secondary,Private Unaided,4.6,4470.0501917584
Jammu And Kashmir,Total,Persons,Upper Primary,Government,11.2,4470.0501917584
Jammu And Kashmir,Total,Persons,Upper Primary,Private aided,1.7,4470.0501917584
Jammu And Kashmir,Total,Persons,Upper Primary,Private Unaided,4.9,4470.0501917584
Jammu And Kashmir,Urban,Female,Diploma/Certificate below graduate level,Government,2.0,764.9302050365
Jammu And Kashmir,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.0,764.9302050365
Jammu And Kashmir,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.1,764.9302050365
Jammu And Kashmir,Urban,Female,Graduate and above level including diploma,Government,17.5,764.9302050365
Jammu And Kashmir,Urban,Female,Graduate and above level including diploma,Private aided,1.2,764.9302050365
Jammu And Kashmir,Urban,Female,Graduate and above level including diploma,Private Unaided,1.6,764.9302050365
Jammu And Kashmir,Urban,Female,Pre-Primary,Government,1.5,764.9302050365
Jammu And Kashmir,Urban,Female,Pre-Primary,Private aided,1.7,764.9302050365
Jammu And Kashmir,Urban,Female,Pre-Primary,Private Unaided,5.1,764.9302050365
Jammu And Kashmir,Urban,Female,Primary,Government,7.1,764.9302050365
Jammu And Kashmir,Urban,Female,Primary,Private aided,7.3,764.9302050365
Jammu And Kashmir,Urban,Female,Primary,Private Unaided,16.6,764.9302050365
Jammu And Kashmir,Urban,Female,Secondary and Higher Secondary,Government,10.1,764.9302050365
Jammu And Kashmir,Urban,Female,Secondary and Higher Secondary,Private aided,2.8,764.9302050365
Jammu And Kashmir,Urban,Female,Secondary and Higher Secondary,Private Unaided,9.2,764.9302050365
Jammu And Kashmir,Urban,Female,Upper Primary,Government,2.7,764.9302050365
Jammu And Kashmir,Urban,Female,Upper Primary,Private aided,3.8,764.9302050365
Jammu And Kashmir,Urban,Female,Upper Primary,Private Unaided,9.7,764.9302050365
Jammu And Kashmir,Urban,Male,Diploma/Certificate below graduate level,Government,0.7,1009.4329278274
Jammu And Kashmir,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.2,1009.4329278274
Jammu And Kashmir,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,0.4,1009.4329278274
Jammu And Kashmir,Urban,Male,Graduate and above level including diploma,Government,15.6,1009.4329278274
Jammu And Kashmir,Urban,Male,Graduate and above level including diploma,Private aided,0.5,1009.4329278274
Jammu And Kashmir,Urban,Male,Graduate and above level including diploma,Private Unaided,0.7,1009.4329278274
Jammu And Kashmir,Urban,Male,Pre-Primary,Government,1.0,1009.4329278274
Jammu And Kashmir,Urban,Male,Pre-Primary,Private aided,1.7,1009.4329278274
Jammu And Kashmir,Urban,Male,Pre-Primary,Private Unaided,4.1,1009.4329278274
Jammu And Kashmir,Urban,Male,Primary,Government,5.3,1009.4329278274
Jammu And Kashmir,Urban,Male,Primary,Private aided,5.5,1009.4329278274
Jammu And Kashmir,Urban,Male,Primary,Private Unaided,22.5,1009.4329278274
Jammu And Kashmir,Urban,Male,Secondary and Higher Secondary,Government,13.4,1009.4329278274
Jammu And Kashmir,Urban,Male,Secondary and Higher Secondary,Private aided,3.4,1009.4329278274
Jammu And Kashmir,Urban,Male,Secondary and Higher Secondary,Private Unaided,8.5,1009.4329278274
Jammu And Kashmir,Urban,Male,Upper Primary,Government,5.2,1009.4329278274
Jammu And Kashmir,Urban,Male,Upper Primary,Private aided,2.2,1009.4329278274
Jammu And Kashmir,Urban,Male,Upper Primary,Private Unaided,9.1,1009.4329278274
Jammu And Kashmir,Urban,Persons,Diploma/Certificate below graduate level,Government,1.3,1774.3631328639
Jammu And Kashmir,Urban,Persons,Diploma/Certificate below graduate level,Private aided,0.1,1774.3631328639
Jammu And Kashmir,Urban,Persons,Diploma/Certificate below graduate level,Private Unaided,0.3,1774.3631328639
Jammu And Kashmir,Urban,Persons,Graduate and above level including diploma,Government,16.4,1774.3631328639
Jammu And Kashmir,Urban,Persons,Graduate and above level including diploma,Private aided,0.8,1774.3631328639
Jammu And Kashmir,Urban,Persons,Graduate and above level including diploma,Private Unaided,1.1,1774.3631328639
Jammu And Kashmir,Urban,Persons,Pre-Primary,Government,1.2,1774.3631328639
Jammu And Kashmir,Urban,Persons,Pre-Primary,Private aided,1.7,1774.3631328639
Jammu And Kashmir,Urban,Persons,Pre-Primary,Private Unaided,4.5,1774.3631328639
Jammu And Kashmir,Urban,Persons,Primary,Government,6.0,1774.3631328639
Jammu And Kashmir,Urban,Persons,Primary,Private aided,6.3,1774.3631328639
Jammu And Kashmir,Urban,Persons,Primary,Private Unaided,20.0,1774.3631328639
Jammu And Kashmir,Urban,Persons,Secondary and Higher Secondary,Government,12.0,1774.3631328639
Jammu And Kashmir,Urban,Persons,Secondary and Higher Secondary,Private aided,3.1,1774.3631328639
Jammu And Kashmir,Urban,Persons,Secondary and Higher Secondary,Private Unaided,8.8,1774.3631328639
Jammu And Kashmir,Urban,Persons,Upper Primary,Government,4.1,1774.3631328639
Jammu And Kashmir,Urban,Persons,Upper Primary,Private aided,2.9,1774.3631328639
Jammu And Kashmir,Urban,Persons,Upper Primary,Private Unaided,9.4,1774.3631328639
Himachal Pradesh,Rural,Female,Diploma/Certificate below graduate level,Government,1.0,1103.0
Himachal Pradesh,Rural,Female,Diploma/Certificate below graduate level,Private aided,0.1,1103.0
Himachal Pradesh,Rural,Female,Diploma/Certificate below graduate level,Private Unaided,0.9,1103.0
Himachal Pradesh,Rural,Female,Graduate and above level including diploma,Government,12.4,1103.0
Himachal Pradesh,Rural,Female,Graduate and above level including diploma,Private aided,0.3,1103.0
Himachal Pradesh,Rural,Female,Graduate and above level including diploma,Private Unaided,1.5,1103.0
Himachal Pradesh,Rural,Female,Pre-Primary,Government,1.6,1103.0
Himachal Pradesh,Rural,Female,Pre-Primary,Private aided,0.3,1103.0
Himachal Pradesh,Rural,Female,Pre-Primary,Private Unaided,3.9,1103.0
Himachal Pradesh,Rural,Female,Primary,Government,18.6,1103.0
Himachal Pradesh,Rural,Female,Primary,Private aided,1.0,1103.0
Himachal Pradesh,Rural,Female,Primary,Private Unaided,8.8,1103.0
Himachal Pradesh,Rural,Female,Secondary and Higher Secondary,Government,23.0,1103.0
Himachal Pradesh,Rural,Female,Secondary and Higher Secondary,Private aided,0.5,1103.0
Himachal Pradesh,Rural,Female,Secondary and Higher Secondary,Private Unaided,5.4,1103.0
Himachal Pradesh,Rural,Female,Upper Primary,Government,12.4,1103.0
Himachal Pradesh,Rural,Female,Upper Primary,Private aided,0.5,1103.0
Himachal Pradesh,Rural,Female,Upper Primary,Private Unaided,7.8,1103.0
Himachal Pradesh,Rural,Male,Diploma/Certificate below graduate level,Government,1.6,1249.0
Himachal Pradesh,Rural,Male,Diploma/Certificate below graduate level,Private aided,0.4,1249.0
Himachal Pradesh,Rural,Male,Diploma/Certificate below graduate level,Private Unaided,1.2,1249.0
Himachal Pradesh,Rural,Male,Graduate and above level including diploma,Government,8.2,1249.0
Himachal Pradesh,Rural,Male,Graduate and above level including diploma,Private aided,0.4,1249.0
Himachal Pradesh,Rural,Male,Graduate and above level including diploma,Private Unaided,1.0,1249.0
Himachal Pradesh,Rural,Male,Pre-Primary,Government,1.7,1249.0
Himachal Pradesh,Rural,Male,Pre-Primary,Private aided,0.3,1249.0
Himachal Pradesh,Rural,Male,Pre-Primary,Private Unaided,4.5,1249.0
Himachal Pradesh,Rural,Male,Primary,Government,15.3,1249.0
Himachal Pradesh,Rural,Male,Primary,Private aided,1.8,1249.0
Himachal Pradesh,Rural,Male,Primary,Private Unaided,10.2,1249.0
Himachal Pradesh,Rural,Male,Secondary and Higher Secondary,Government,23.3,1249.0
Himachal Pradesh,Rural,Male,Secondary and Higher Secondary,Private aided,0.8,1249.0
Himachal Pradesh,Rural,Male,Secondary and Higher Secondary,Private Unaided,8.0,1249.0
Himachal Pradesh,Rural,Male,Upper Primary,Government,11.1,1249.0
Himachal Pradesh,Rural,Male,Upper Primary,Private aided,1.0,1249.0
Himachal Pradesh,Rural,Male,Upper Primary,Private Unaided,9.0,1249.0
Himachal Pradesh,Rural,Persons,Diploma/Certificate below graduate level,Government,1.3,2352.0
Himachal Pradesh,Rural,Persons,Diploma/Certificate below graduate level,Private aided,0.3,2352.0
Himachal Pradesh,Rural,Persons,Diploma/Certificate below graduate level,Private Unaided,1.1,2352.0
Himachal Pradesh,Rural,Persons,Graduate and above level including diploma,Government,10.2,2352.0
Himachal Pradesh,Rural,Persons,Graduate and above level including diploma,Private aided,0.3,2352.0
Himachal Pradesh,Rural,Persons,Graduate and above level including diploma,Private Unaided,1.2,2352.0
Himachal Pradesh,Rural,Persons,Pre-Primary,Government,1.6,2352.0
Himachal Pradesh,Rural,Persons,Pre-Primary,Private aided,0.3,2352.0
Himachal Pradesh,Rural,Persons,Pre-Primary,Private Unaided,4.2,2352.0
Himachal Pradesh,Rural,Persons,Primary,Government,16.9,2352.0
Himachal Pradesh,Rural,Persons,Primary,Private aided,1.4,2352.0
Himachal Pradesh,Rural,Persons,Primary,Private Unaided,9.5,2352.0
Himachal Pradesh,Rural,Persons,Secondary and Higher Secondary,Government,23.1,2352.0
Himachal Pradesh,Rural,Persons,Secondary and Higher Secondary,Private aided,0.6,2352.0
Himachal Pradesh,Rural,Persons,Secondary and Higher Secondary,Private Unaided,6.8,2352.0
Himachal Pradesh,Rural,Persons,Upper Primary,Government,11.7,2352.0
Himachal Pradesh,Rural,Persons,Upper Primary,Private aided,0.8,2352.0
Himachal Pradesh,Rural,Persons,Upper Primary,Private Unaided,8.4,2352.0
Himachal Pradesh,Total,Female,Diploma/Certificate below graduate level,Government,0.9,1356.0
Himachal Pradesh,Total,Female,Diploma/Certificate below graduate level,Private aided,0.1,1356.0
Himachal Pradesh,Total,Female,Diploma/Certificate below graduate level,Private Unaided,0.8,1356.0
Himachal Pradesh,Total,Female,Graduate and above level including diploma,Government,12.2,1356.0
Himachal Pradesh,Total,Female,Graduate and above level including diploma,Private aided,0.4,1356.0
Himachal Pradesh,Total,Female,Graduate and above level including diploma,Private Unaided,1.7,1356.0
Himachal Pradesh,Total,Female,Pre-Primary,Government,1.5,1356.0
Himachal Pradesh,Total,Female,Pre-Primary,Private aided,0.3,1356.0
Himachal Pradesh,Total,Female,Pre-Primary,Private Unaided,3.8,1356.0
Himachal Pradesh,Total,Female,Primary,Government,17.0,1356.0
Himachal Pradesh,Total,Female,Primary,Private aided,1.0,1356.0
Himachal Pradesh,Total,Female,Primary,Private Unaided,10.4,1356.0
Himachal Pradesh,Total,Female,Secondary and Higher Secondary,Government,21.2,1356.0
Himachal Pradesh,Total,Female,Secondary and Higher Secondary,Private aided,1.6,1356.0
Himachal Pradesh,Total,Female,Secondary and Higher Secondary,Private Unaided,6.6,1356.0
Himachal Pradesh,Total,Female,Upper Primary,Government,11.1,1356.0
Himachal Pradesh,Total,Female,Upper Primary,Private aided,1.0,1356.0
Himachal Pradesh,Total,Female,Upper Primary,Private Unaided,8.1,1356.0
Himachal Pradesh,Total,Male,Diploma/Certificate below graduate level,Government,1.5,1520.0
Himachal Pradesh,Total,Male,Diploma/Certificate below graduate level,Private aided,0.4,1520.0
Himachal Pradesh,Total,Male,Diploma/Certificate below graduate level,Private Unaided,1.2,1520.0
Himachal Pradesh,Total,Male,Graduate and above level including diploma,Government,8.8,1520.0
Himachal Pradesh,Total,Male,Graduate and above level including diploma,Private aided,0.4,1520.0
Himachal Pradesh,Total,Male,Graduate and above level including diploma,Private Unaided,1.5,1520.0
Himachal Pradesh,Total,Male,Pre-Primary,Government,1.6,1520.0
Himachal Pradesh,Total,Male,Pre-Primary,Private aided,0.8,1520.0
Himachal Pradesh,Total,Male,Pre-Primary,Private Unaided,5.2,1520.0
Himachal Pradesh,Total,Male,Primary,Government,14.0,1520.0
Himachal Pradesh,Total,Male,Primary,Private aided,2.2,1520.0
Himachal Pradesh,Total,Male,Primary,Private Unaided,11.1,1520.0
Himachal Pradesh,Total,Male,Secondary and Higher Secondary,Government,21.1,1520.0
Himachal Pradesh,Total,Male,Secondary and Higher Secondary,Private aided,0.7,1520.0
Himachal Pradesh,Total,Male,Secondary and Higher Secondary,Private Unaided,9.4,1520.0
Himachal Pradesh,Total,Male,Upper Primary,Government,10.1,1520.0
Himachal Pradesh,Total,Male,Upper Primary,Private aided,1.0,1520.0
Himachal Pradesh,Total,Male,Upper Primary,Private Unaided,8.9,1520.0
Himachal Pradesh,Total,Persons,Diploma/Certificate below graduate level,Government,1.2,2876.0
Himachal Pradesh,Total,Persons,Diploma/Certificate below graduate level,Private aided,0.2,2876.0
Himachal Pradesh,Total,Persons,Diploma/Certificate below graduate level,Private Unaided,1.0,2876.0
Himachal Pradesh,Total,Persons,Graduate and above level including diploma,Government,10.4,2876.0
Himachal Pradesh,Total,Persons,Graduate and above level including diploma,Private aided,0.4,2876.0
Himachal Pradesh,Total,Persons,Graduate and above level including diploma,Private Unaided,1.6,2876.0
Himachal Pradesh,Total,Persons,Pre-Primary,Government,1.5,2876.0
Himachal Pradesh,Total,Persons,Pre-Primary,Private aided,0.6,2876.0
Himachal Pradesh,Total,Persons,Pre-Primary,Private Unaided,4.5,2876.0
Himachal Pradesh,Total,Persons,Primary,Government,15.4,2876.0
Himachal Pradesh,Total,Persons,Primary,Private aided,1.6,2876.0
Himachal Pradesh,Total,Persons,Primary,Private Unaided,10.8,2876.0
Himachal Pradesh,Total,Persons,Secondary and Higher Secondary,Government,21.2,2876.0
Himachal Pradesh,Total,Persons,Secondary and Higher Secondary,Private aided,1.2,2876.0
Himachal Pradesh,Total,Persons,Secondary and Higher Secondary,Private Unaided,8.0,2876.0
Himachal Pradesh,Total,Persons,Upper Primary,Government,10.6,2876.0
Himachal Pradesh,Total,Persons,Upper Primary,Private aided,1.0,2876.0
Himachal Pradesh,Total,Persons,Upper Primary,Private Unaided,8.5,2876.0
Himachal Pradesh,Urban,Female,Diploma/Certificate below graduate level,Government,0.3,253.0
Himachal Pradesh,Urban,Female,Diploma/Certificate below graduate level,Private aided,0.1,253.0
Himachal Pradesh,Urban,Female,Diploma/Certificate below graduate level,Private Unaided,0.3,253.0
Himachal Pradesh,Urban,Female,Graduate and above level including diploma,Government,10.4,253.0
Himachal Pradesh,Urban,Female,Graduate and above level including diploma,Private aided,1.5,253.0
Himachal Pradesh,Urban,Female,Graduate and above level including diploma,Private Unaided,3.2,253.0
Himachal Pradesh,Urban,Female,Pre-Primary,Government,1.1,253.0
Himachal Pradesh,Urban,Female,Pre-Primary,Private aided,0.5,253.0
Himachal Pradesh,Urban,Female,Pre-Primary,Private Unaided,2.8,253.0
Himachal Pradesh,Urban,Female,Primary,Government,5.4,253.0
Himachal Pradesh,Urban,Female,Primary,Private aided,1.1,253.0
Himachal Pradesh,Urban,Female,Primary,Private Unaided,22.3,253.0
Himachal Pradesh,Urban,Female,Secondary and Higher Secondary,Government,7.8,253.0
Himachal Pradesh,Urban,Female,Secondary and Higher Secondary,Private aided,10.1,253.0
Himachal Pradesh,Urban,Female,Secondary and Higher Secondary,Private Unaided,15.6,253.0
Himachal Pradesh,Urban,Female,Upper Primary,Government,2.0,253.0
Himachal Pradesh,Urban,Female,Upper Primary,Private aided,4.7,253.0
Himachal Pradesh,Urban,Female,Upper Primary,Private Unaided,10.6,253.0
Himachal Pradesh,Urban,Male,Diploma/Certificate below graduate level,Government,1.0,271.0
Himachal Pradesh,Urban,Male,Diploma/Certificate below graduate level,Private aided,0.0,271.0
Himachal Pradesh,Urban,Male,Diploma/Certificate below graduate level,Private Unaided,0.7,271.0
Himachal Pradesh,Urban,Male,Graduate and above level including diploma,Government,14.0,271.0
Himachal Pradesh,Urban,Male,Graduate and above level including diploma,Private aided,0.3,271.0
Himachal Pradesh,Urban,Male,Graduate and above level including diploma,Private Unaided,5.8,271.0
Himachal Pradesh,Urban,Male,Pre-Primary,Government,0.6,271.0
Himachal Pradesh,Urban,Male,Pre-Primary,Private aided,5.3,271.0
Himachal Pradesh,Urban,Male,Pre-Primary,Private Unaided,11.8,271.0
Himachal Pradesh,Urban,Male,Primary,Government,1.6,271.0
Himachal Pradesh,Urban,Male,Primary,Private aided,6.2,271.0
Himachal Pradesh,Urban,Male,Primary,Private Unaided,19.5,271.0
Himachal Pradesh,Urban,Male,Secondary and Higher Secondary,Government,1.7,271.0
Himachal Pradesh,Urban,Male,Secondary and Higher Secondary,Private aided,0.4,271.0
Himachal Pradesh,Urban,Male,Secondary and Higher Secondary,Private Unaided,22.0,271.0
Himachal Pradesh,Urban,Male,Upper Primary,Government,0.9,271.0
Himachal Pradesh,Urban,Male,Upper Primary,Private aided,0.6,271.0
Himachal Pradesh,Urban,Male,Upper Primary,Private Unaided,7.5,271.0
Himachal Pradesh,Urban,Persons,Diploma/Certificate below graduate level,Government,0.6,524.0
Himachal Pradesh,Urban,Persons,Diploma/Certificate below graduate level,Private aided,0.0,524.0
Himachal Pradesh,Urban,Persons,Diploma/Certificate below graduate level,Private Unaided,0.5,524.0
Himachal Pradesh,Urban,Persons,Graduate and above level including diploma,Government,12.1,524.0
Himachal Pradesh,Urban,Persons,Graduate and above level including diploma,Private aided,0.9,524.0
Himachal Pradesh,Urban,Persons,Graduate and above level including diploma,Private Unaided,4.4,524.0
Himachal Pradesh,Urban,Persons,Pre-Primary,Government,0.9,524.0
Himachal Pradesh,Urban,Persons,Pre-Primary,Private aided,2.7,524.0
Himachal Pradesh,Urban,Persons,Pre-Primary,Private Unaided,7.0,524.0
Himachal Pradesh,Urban,Persons,Primary,Government,3.6,524.0
Himachal Pradesh,Urban,Persons,Primary,Private aided,3.5,524.0
Himachal Pradesh,Urban,Persons,Primary,Private Unaided,21.0,524.0
Himachal Pradesh,Urban,Persons,Secondary and Higher Secondary,Government,4.9,524.0
Himachal Pradesh,Urban,Persons,Secondary and Higher Secondary,Private aided,5.6,524.0
Himachal Pradesh,Urban,Persons,Secondary and Higher Secondary,Private Unaided,18.6,524.0
Himachal Pradesh,Urban,Persons,Upper Primary,Government,1.5,524.0
Himachal Pradesh,Urban,Persons,Upper Primary,Private aided,2.8,524.0
Himachal Pradesh,Urban,Persons,Upper Primary,Private Unaided,9.2,524.0
Punjab,Rural,Female,Diploma/Certificate below graduate level,Government,0.4,954.0
Punjab,Rural,Female,Diploma/Certificate below graduate level,Private aided,0.3,954.0
