State,Residence_Type,Age group,Gender,Labour force participation rate according to usual status (ps+ss),Worker population rate according to usual status (ps+ss), unemployment rate according to usual status (ps+ss)
Himachal Pradesh,Total,All Ages,Person,52.8,50.1,5.2
Himachal Pradesh,Urban,All Ages,Female,25.8,21.9,14.9
Himachal Pradesh,Urban,All Ages,Male,56.7,53,6.5
Himachal Pradesh,Urban,All Ages,Person,42.7,39,8.8
Himachal Pradesh,Rural,15-29 years,Female,54.1,49.4,8.8
Himachal Pradesh,Rural,15-29 years,Male,67.9,57.3,15.5
Himachal Pradesh,Rural,15-29 years,Person,61.1,53.5,12.6
Himachal Pradesh,Total,15-29 years,Female,50.9,45.7,10.3
Himachal Pradesh,Total,15-29 years,Male,67.3,57.3,15
Himachal Pradesh,Total,15-29 years,Person,59.4,51.7,13
Himachal Pradesh,Urban,15-29 years,Female,31.5,23.4,25.8
Himachal Pradesh,Urban,15-29 years,Male,64.8,57,12
Himachal Pradesh,Urban,15-29 years,Person,50,42.1,15.9
Himachal Pradesh,Rural,15-59 years,Female,74.3,72.4,2.6
Himachal Pradesh,Rural,15-59 years,Male,85.6,81.2,5.2
Himachal Pradesh,Rural,15-59 years,Person,79.8,76.7,3.9
Himachal Pradesh,Total,15-59 years,Female,70.3,68.1,3.2
Himachal Pradesh,Total,15-59 years,Male,85.2,80.9,5.1
Himachal Pradesh,Total,15-59 years,Person,77.6,74.4,4.2
Himachal Pradesh,Urban,15-59 years,Female,43.2,38.8,10.2
Himachal Pradesh,Urban,15-59 years,Male,82.5,78.8,4.4
Himachal Pradesh,Urban,15-59 years,Person,63.7,59.6,6.3
Himachal Pradesh,Rural,15 years and above,Female,68.2,66.7,2.3
Himachal Pradesh,Rural,15 years and above,Male,82.4,78.7,4.5
Himachal Pradesh,Rural,15 years and above,Person,75,72.4,3.4
Himachal Pradesh,Total,15 years and above,Female,65,63.1,2.8
Himachal Pradesh,Total,15 years and above,Male,82,78.4,4.4
Himachal Pradesh,Total,15 years and above,Person,73.2,70.5,3.7
Himachal Pradesh,Urban,15 years and above,Female,40.6,36.7,9.7
Himachal Pradesh,Urban,15 years and above,Male,79.5,76.2,4.1
Himachal Pradesh,Urban,15 years and above,Person,60.8,57.2,5.9
Himachal Pradesh,Rural,all ages,Female,54.7,53.5,2.3
Himachal Pradesh,Rural,all ages,Male,64.5,61.6,4.4
Himachal Pradesh,Rural,all ages,Person,59.4,57.4,3.4
Himachal Pradesh,Total,all ages,Female,51.8,50.3,2.8
Himachal Pradesh,Total,all ages,Male,63.9,61.1,4.4
Himachal Pradesh,Total,all ages,Person,57.7,55.6,3.7
Himachal Pradesh,Urban,all ages,Female,30.9,27.9,9.7
Himachal Pradesh,Urban,all ages,Male,60.6,58.1,4.1
Himachal Pradesh,Urban,all ages,Person,46.3,43.5,5.9
Punjab,Rural,15-29 years,Female,13.8,9.1,34.3
Punjab,Rural,15-29 years,Male,59.7,47,21.3
Punjab,Rural,15-29 years,Person,39,29.9,23.4
Punjab,Total,15-29 years,Female,16,11.2,30.2
Punjab,Total,15-29 years,Male,61.9,50.1,19
Punjab,Total,15-29 years,Person,41.4,32.7,21
Punjab,Urban,15-29 years,Female,19.7,14.7,25.2
Punjab,Urban,15-29 years,Male,65.4,55.1,15.7
Punjab,Urban,15-29 years,Person,45.2,37.3,17.5
Punjab,Rural,15-59 years,Female,20.9,19.1,8.9
Punjab,Rural,15-59 years,Male,77.9,71.5,8.3
Punjab,Rural,15-59 years,Person,50.5,46.2,8.4
Punjab,Total,15-59 years,Female,21.1,19,10
Punjab,Total,15-59 years,Male,80,74,7.5
Punjab,Total,15-59 years,Person,51.9,47.8,8
Punjab,Urban,15-59 years,Female,21.3,18.8,11.8
Punjab,Urban,15-59 years,Male,83.1,77.8,6.4
Punjab,Urban,15-59 years,Person,54.2,50.2,7.4
Punjab,Rural,15 years and above,Male,72,66.6,7.6
Punjab,Rural,15 years and above,Person,46.3,42.7,7.7
Punjab,Total,15 years and above,Female,19.1,17.3,9.4
Punjab,Total,15 years and above,Male,73.9,68.8,6.9
Punjab,Total,15 years and above,Person,47.7,44.2,7.4
Punjab,Urban,15 years and above,Female,19.3,17.1,11.3
Punjab,Urban,15 years and above,Male,77,72.4,6
Punjab,Urban,15 years and above,Person,50,46.5,7
Punjab,Rural,All Ages,Female,15,13.8,8.3
Punjab,Rural,All Ages,Male,56.7,52.4,7.6
Punjab,Rural,All Ages,Person,36.6,33.8,7.7
Punjab,Total,All Ages,Female,15,13.6,9.4
Punjab,Total,All Ages,Male,57.7,53.6,7
Punjab,Total,All Ages,Person,37.4,34.6,7.4
Punjab,Urban,All Ages,Female,15,13.3,11.3
Punjab,Urban,All Ages,Male,59.1,55.5,6.1
Punjab,Urban,All Ages,Person,38.6,35.9,7
Punjab,Rural,15-29 years,Female,24.4,20.2,17.2
Punjab,Rural,15-29 years,Male,68.4,56,18.1
Punjab,Rural,15-29 years,Person,49.2,40.3,17.9
Punjab,Total,15-29 years,Female,23.7,19.1,19.7
Punjab,Total,15-29 years,Male,67.4,55,18.4
Punjab,Total,15-29 years,Person,47.9,39,18.7
Punjab,Urban,15-29 years,Female,22.6,17.1,24.3
Punjab,Urban,15-29 years,Male,65.5,53.2,18.8
Punjab,Urban,15-29 years,Person,45.7,36.5,20.1
Punjab,Rural,15-59 years,Female,27.7,25.9,6.5
Punjab,Rural,15-59 years,Male,82.5,75.9,8.1
Punjab,Rural,15-59 years,Person,56.6,52.2,7.7
Punjab,Total,15-59 years,Female,26.7,24.5,8.4
Punjab,Total,15-59 years,Male,82.9,76.6,7.6
Punjab,Total,15-59 years,Person,56.2,51.8,7.8
Punjab,Urban,15-59 years,Female,25.1,22.1,12
Punjab,Urban,15-59 years,Male,83.6,77.8,6.9
Punjab,Urban,15-59 years,Person,55.5,51.1,8
Punjab,Rural,15 years and above,Female,24.8,23.3,6.1
Punjab,Rural,15 years and above,Male,76.6,70.9,7.4
Punjab,Rural,15 years and above,Person,51.9,48.2,7.1
Punjab,Total,15 years and above,Female,23.7,21.8,8
Punjab,Total,15 years and above,Male,77.2,71.7,7.1
Punjab,Total,15 years and above,Person,51.6,47.8,7.3
Punjab,Urban,15 years and above,Female,21.9,19.4,11.7
Punjab,Urban,15 years and above,Male,78.1,73,6.5
Punjab,Urban,15 years and above,Person,51.1,47.2,7.5
Punjab,Rural,all ages,Female,19.9,18.7,6.4
Punjab,Rural,all ages,Male,61.5,56.9,7.4
Punjab,Rural,all ages,Person,41.6,38.6,7.2
Punjab,Total,all ages,Female,18.9,17.4,8.2
Punjab,Total,all ages,Male,60.9,56.5,7.1
Punjab,Total,all ages,Person,40.8,37.8,7.4
Punjab,Urban,all ages,Female,17.2,15.2,11.6
Punjab,Urban,all ages,Male,59.8,55.9,6.6
Punjab,Urban,all ages,Person,39.6,36.5,7.7
Chandigarh,Rural,15-29 years,Female,28.4,24,15.5
Chandigarh,Rural,15-29 years,Male,67.5,67.5,0
Chandigarh,Rural,15-29 years,Person,52,50.2,3.4
Chandigarh,Total,15-29 years,Female,21,17.1,18.8
Chandigarh,Total,15-29 years,Male,54.5,44.6,18.1
Chandigarh,Total,15-29 years,Person,40,32.7,18.2
Chandigarh,Urban,15-29 years,Female,20.6,16.7,19
Chandigarh,Urban,15-29 years,Male,53.6,43.1,19.6
Chandigarh,Urban,15-29 years,Person,39.2,31.6,19.5
Chandigarh,Rural,15-59 years,Female,23.5,21.2,9.6
Chandigarh,Rural,15-59 years,Male,81.4,81.4,0
Chandigarh,Rural,15-59 years,Person,56.9,56,1.7
Chandigarh,Total,15-59 years,Female,27.5,24.8,10
Chandigarh,Total,15-59 years,Male,79.4,73.7,7.1
Chandigarh,Total,15-59 years,Person,54.9,50.7,7.8
Chandigarh,Urban,15-59 years,Female,27.7,24.9,10
Chandigarh,Urban,15-59 years,Male,79.3,73.3,7.5
Chandigarh,Urban,15-59 years,Person,54.9,50.4,8.1
Chandigarh,Rural,15 years and above,Male,81.5,81.5,0
Chandigarh,Rural,15 years and above,Person,56.8,55.9,1.6
Chandigarh,Total,15 years and above,Female,24.7,22.3,9.7
Chandigarh,Total,15 years and above,Male,74.4,69.5,6.6
Chandigarh,Total,15 years and above,Person,51.1,47.3,7.3
Chandigarh,Urban,15 years and above,Female,24.8,22.4,9.7
Chandigarh,Urban,15 years and above,Male,74.1,69,6.9
Chandigarh,Urban,15 years and above,Person,50.8,47,7.6
Chandigarh,Rural,All Ages,Female,13.1,11.9,9.1
Chandigarh,Rural,All Ages,Male,67.2,67.2,0
Chandigarh,Rural,All Ages,Person,39.1,38.5,1.6
Chandigarh,Total,All Ages,Female,19.7,17.8,9.7
Chandigarh,Total,All Ages,Male,58.7,54.4,7.3
Chandigarh,Total,All Ages,Person,40.6,37.4,7.9
Chandigarh,Urban,All Ages,Female,20.1,18.1,9.7
Chandigarh,Urban,All Ages,Male,58.3,53.9,7.7
Chandigarh,Urban,All Ages,Person,40.6,37.3,8.2
Chandigarh,Rural,15-29 years,Female,36.3,29.8,17.7
Chandigarh,Rural,15-29 years,Male,56.2,49.5,11.9
Chandigarh,Rural,15-29 years,Person,48.6,42,13.5
Chandigarh,Total,15-29 years,Female,15.7,13.7,12.8
Chandigarh,Total,15-29 years,Male,59.5,52.2,12.2
Chandigarh,Total,15-29 years,Person,35.5,31.1,12.3
Chandigarh,Urban,15-29 years,Female,15.2,13.3,12.5
Chandigarh,Urban,15-29 years,Male,59.6,52.3,12.2
Chandigarh,Urban,15-29 years,Person,35.1,30.8,12.3
Chandigarh,Rural,15-59 years,Female,35.1,22,37.4
Chandigarh,Rural,15-59 years,Male,88.7,85.9,3.1
Chandigarh,Rural,15-59 years,Person,67.8,61,10
Chandigarh,Total,15-59 years,Female,23.3,21.4,7.8
Chandigarh,Total,15-59 years,Male,83,78.2,5.8
Chandigarh,Total,15-59 years,Person,53.3,50,6.2
Chandigarh,Urban,15-59 years,Female,22.8,21.4,6.1
Chandigarh,Urban,15-59 years,Male,82.7,77.7,6
Chandigarh,Urban,15-59 years,Person,52.6,49.5,6
Chandigarh,Rural,15 years and above,Female,33.4,20.9,37.4
Chandigarh,Rural,15 years and above,Male,87.6,84.9,3.1
Chandigarh,Rural,15 years and above,Person,66.2,59.6,9.9
Chandigarh,Total,15 years and above,Female,20.4,18.8,7.6
Chandigarh,Total,15 years and above,Male,77.3,72.7,6
Chandigarh,Total,15 years and above,Person,48.5,45.5,6.3
Chandigarh,Urban,15 years and above,Female,20,18.8,6
Chandigarh,Urban,15 years and above,Male,76.7,72,6.1
Chandigarh,Urban,15 years and above,Person,47.8,44.8,6.1
Chandigarh,Rural,all ages,Female,21.4,13.6,36.5
Chandigarh,Rural,all ages,Male,59,57.2,3.1
Chandigarh,Rural,all ages,Person,43.5,39.2,9.9
Chandigarh,Total,all ages,Female,15.8,14.6,7.6
Chandigarh,Total,all ages,Male,56.7,53.3,6
Chandigarh,Total,all ages,Person,36.5,34.2,6.3
Chandigarh,Urban,all ages,Female,15.5,14.6,6
Chandigarh,Urban,all ages,Male,56.6,53.1,6.1
Chandigarh,Urban,all ages,Person,36.2,34,6.1
Uttarakhand,Rural,15-29 years,Female,15.4,9,41.3
Uttarakhand,Rural,15-29 years,Male,48.9,42.3,13.5
Uttarakhand,Rural,15-29 years,Person,31.5,25,20.6
Uttarakhand,Total,15-29 years,Female,16.1,8.8,45.3
Uttarakhand,Total,15-29 years,Male,51.3,42.7,16.8
Uttarakhand,Total,15-29 years,Person,33.9,26,23.5
Uttarakhand,Urban,15-29 years,Female,18.1,8,55.8
Uttarakhand,Urban,15-29 years,Male,56.4,43.5,22.9
Uttarakhand,Urban,15-29 years,Person,40.1,28.4,29.2
Uttarakhand,Rural,15-59 years,Female,23.2,19.9,14
Uttarakhand,Rural,15-59 years,Male,74.9,70.6,5.7
Uttarakhand,Rural,15-59 years,Person,48.4,44.6,7.8
Uttarakhand,Total,15-59 years,Female,21.6,17.8,17.5
Uttarakhand,Total,15-59 years,Male,75.8,70.3,7.2
Uttarakhand,Total,15-59 years,Person,48.6,44,9.5
Uttarakhand,Urban,15-59 years,Female,17.4,12.1,30.2
Uttarakhand,Urban,15-59 years,Male,77.7,69.5,10.5
Uttarakhand,Urban,15-59 years,Person,49.2,42.4,13.8
Uttarakhand,Rural,15 years and above,Male,71.3,67.6,5.2
Uttarakhand,Rural,15 years and above,Person,45.4,42.1,7.1
Uttarakhand,Total,15 years and above,Female,19.4,16.2,16.8
Uttarakhand,Total,15 years and above,Male,71.7,66.9,6.7
Uttarakhand,Total,15 years and above,Person,45.4,41.4,8.9
Uttarakhand,Urban,15 years and above,Female,15.5,10.8,30.2
Uttarakhand,Urban,15 years and above,Male,72.7,65.3,10.2
Uttarakhand,Urban,15 years and above,Person,45.6,39.5,13.4
Uttarakhand,Rural,All Ages,Female,16.1,14,13.3
Uttarakhand,Rural,All Ages,Male,52.3,49.6,5.3
Uttarakhand,Rural,All Ages,Person,34.2,31.8,7.2
Uttarakhand,Total,All Ages,Female,15,12.5,16.8
Uttarakhand,Total,All Ages,Male,53,49.4,6.7
Uttarakhand,Total,All Ages,Person,34.3,31.2,8.9
Uttarakhand,Urban,All Ages,Female,11.8,8.2,30
Uttarakhand,Urban,All Ages,Male,54.6,49.1,10.2
Uttarakhand,Urban,All Ages,Person,34.3,29.7,13.4
Uttarakhand,Rural,15-29 years,Female,26.4,22.7,13.8
Uttarakhand,Rural,15-29 years,Male,58,45.7,21.1
Uttarakhand,Rural,15-29 years,Person,43.6,35.3,19.1
Uttarakhand,Total,15-29 years,Female,23.8,19.5,17.9
Uttarakhand,Total,15-29 years,Male,58.4,46.6,20.3
Uttarakhand,Total,15-29 years,Person,42.3,34,19.7
Uttarakhand,Urban,15-29 years,Female,17.5,11.8,32.5
Uttarakhand,Urban,15-29 years,Male,59.7,48.9,18.1
Uttarakhand,Urban,15-29 years,Person,38.9,30.6,21.3
Uttarakhand,Rural,15-59 years,Female,40.9,39.2,4.2
Uttarakhand,Rural,15-59 years,Male,78.1,71.3,8.7
Uttarakhand,Rural,15-59 years,Person,59.9,55.6,7.2
Uttarakhand,Total,15-59 years,Female,34.8,32.7,6
Uttarakhand,Total,15-59 years,Male,78.6,72,8.5
Uttarakhand,Total,15-59 years,Person,57.1,52.7,7.7
Uttarakhand,Urban,15-59 years,Female,19.5,16.5,15.5
Uttarakhand,Urban,15-59 years,Male,79.9,73.6,7.9
Uttarakhand,Urban,15-59 years,Person,50,45.3,9.4
Uttarakhand,Rural,15 years and above,Female,37.3,35.8,3.9
Uttarakhand,Rural,15 years and above,Male,74.6,68.7,7.9
Uttarakhand,Rural,15 years and above,Person,56.1,52.4,6.5
Uttarakhand,Total,15 years and above,Female,31.8,30.1,5.6
Uttarakhand,Total,15 years and above,Male,74.6,68.8,7.8
Uttarakhand,Total,15 years and above,Person,53.4,49.5,7.1
Uttarakhand,Urban,15 years and above,Female,17.5,14.8,15.5
Uttarakhand,Urban,15 years and above,Male,74.5,68.8,7.6
Uttarakhand,Urban,15 years and above,Person,46.1,41.9,9.1
Uttarakhand,Rural,all ages,Female,28.8,27.7,3.9
Uttarakhand,Rural,all ages,Male,56.5,52.1,7.8
Uttarakhand,Rural,all ages,Person,43,40.1,6.5
Uttarakhand,Total,all ages,Female,24.8,23.4,5.6
Uttarakhand,Total,all ages,Male,56.5,52.1,7.8
Uttarakhand,Total,all ages,Person,41,38.1,7.1
Uttarakhand,Urban,all ages,Female,13.9,11.8,15.5
Uttarakhand,Urban,all ages,Male,56.5,52.2,7.6
Uttarakhand,Urban,all ages,Person,35.9,32.6,9.1
Haryana,Rural,15-29 years,Female,8.2,6.3,22.9
Haryana,Rural,15-29 years,Male,61.5,45.9,25.3
Haryana,Rural,15-29 years,Person,37.9,28.4,25.1
Haryana,Total,15-29 years,Female,10.6,8.3,21.2
Haryana,Total,15-29 years,Male,60.6,47.1,22.2
Haryana,Total,15-29 years,Person,38.7,30.1,22.1
Haryana,Urban,15-29 years,Female,15.5,12.5,19.4
Haryana,Urban,15-29 years,Male,58.8,49.5,15.9
Haryana,Urban,15-29 years,Person,40.3,33.7,16.5
Haryana,Rural,15-59 years,Female,15.1,14,7.3
Haryana,Rural,15-59 years,Male,80,71.4,10.7
Haryana,Rural,15-59 years,Person,49.3,44.3,10.2
Haryana,Total,15-59 years,Female,17.1,15.7,8
Haryana,Total,15-59 years,Male,79.7,71.7,10.1
Haryana,Total,15-59 years,Person,50.4,45.5,9.8
Haryana,Urban,15-59 years,Female,21,19.1,9
Haryana,Urban,15-59 years,Male,79.3,72.1,9
Haryana,Urban,15-59 years,Person,52.5,47.8,9
Haryana,Rural,15 years and above,Male,74.7,67.2,10
Haryana,Rural,15 years and above,Person,45.3,41,9.6
Haryana,Total,15 years and above,Female,15.3,14.1,7.6
Haryana,Total,15 years and above,Male,74.4,67.3,9.6
Haryana,Total,15 years and above,Person,46.2,41.9,9.3
Haryana,Urban,15 years and above,Female,18.5,16.8,8.9
Haryana,Urban,15 years and above,Male,73.9,67.5,8.7
Haryana,Urban,15 years and above,Person,48,43.8,8.7
Haryana,Rural,All Ages,Female,10.1,9.4,6.7
Haryana,Rural,All Ages,Male,53.7,48.3,10
Haryana,Rural,All Ages,Person,32.9,29.8,9.5
Haryana,Total,All Ages,Female,11.5,10.6,7.6
Haryana,Total,All Ages,Male,54.8,49.5,9.6
Haryana,Total,All Ages,Person,34.3,31.1,9.2
Haryana,Urban,All Ages,Female,14.4,13.2,8.9
Haryana,Urban,All Ages,Male,56.8,51.9,8.6
Haryana,Urban,All Ages,Person,37.2,34,8.7
Haryana,Rural,15-29 years,Female,7.1,5.7,20.5
Haryana,Rural,15-29 years,Male,59.9,49,18.1
Haryana,Rural,15-29 years,Person,34.3,28,18.4
Haryana,Total,15-29 years,Female,10.5,8.1,22.4
Haryana,Total,15-29 years,Male,59.8,49.8,16.8
Haryana,Total,15-29 years,Person,36.8,30.3,17.6
Haryana,Urban,15-29 years,Female,17.6,13.4,24
Haryana,Urban,15-29 years,Male,59.8,51,14.6
Haryana,Urban,15-29 years,Person,41.5,34.7,16.3
Haryana,Rural,15-59 years,Female,15.1,14.4,5.2
Haryana,Rural,15-59 years,Male,79.7,74.2,6.9
Haryana,Rural,15-59 years,Person,48.5,45.3,6.7
Haryana,Total,15-59 years,Female,18,16.8,6.7
Haryana,Total,15-59 years,Male,79.9,74.6,6.6
Haryana,Total,15-59 years,Person,50.6,47.3,6.7
Haryana,Urban,15-59 years,Female,23.3,21.3,8.5
Haryana,Urban,15-59 years,Male,80.2,75.2,6.2
Haryana,Urban,15-59 years,Person,54.4,50.7,6.7
Haryana,Rural,15 years and above,Female,13.4,12.7,4.9
Haryana,Rural,15 years and above,Male,73.9,69.1,6.5
Haryana,Rural,15 years and above,Person,44.2,41.4,6.3
Haryana,Total,15 years and above,Female,15.7,14.7,6.5
Haryana,Total,15 years and above,Male,73.7,69,6.3
Haryana,Total,15 years and above,Person,45.8,42.9,6.4
Haryana,Urban,15 years and above,Female,20.2,18.5,8.4
Haryana,Urban,15 years and above,Male,73.3,68.9,6
Haryana,Urban,15 years and above,Person,48.7,45.5,6.5
Haryana,Rural,all ages,Female,10.1,9.6,4.9
Haryana,Rural,all ages,Male,53.8,50.1,6.8
Haryana,Rural,all ages,Person,32.8,30.7,6.5
Haryana,Total,all ages,Female,11.9,11.2,6.5
Haryana,Total,all ages,Male,54.5,51,6.5
Haryana,Total,all ages,Person,34.3,32.1,6.5
Haryana,Urban,all ages,Female,15.4,14.1,8.4
Haryana,Urban,all ages,Male,55.8,52.5,6
Haryana,Urban,all ages,Person,37.2,34.8,6.5
Delhi,Rural,15-29 years,Female,32.4,32.4,0
Delhi,Rural,15-29 years,Male,60.1,59.2,1.5
Delhi,Rural,15-29 years,Person,47.2,46.8,1
Delhi,Total,15-29 years,Female,15.5,11.5,26.3
Delhi,Total,15-29 years,Male,59.9,46.8,21.9
Delhi,Total,15-29 years,Person,41.9,32.5,22.5
Delhi,Urban,15-29 years,Female,14.8,10.5,28.8
Delhi,Urban,15-29 years,Male,59.9,46.3,22.6
Delhi,Urban,15-29 years,Person,41.7,31.9,23.5
Delhi,Rural,15-59 years,Female,16.3,16.3,0
Delhi,Rural,15-59 years,Male,80.5,80,0.6
Delhi,Rural,15-59 years,Person,49.8,49.6,0.5
Delhi,Total,15-59 years,Female,19.7,17.7,9.8
Delhi,Total,15-59 years,Male,79.7,71.1,10.9
Delhi,Total,15-59 years,Person,53.5,47.8,10.7
Delhi,Urban,15-59 years,Female,19.8,17.8,10.1
Delhi,Urban,15-59 years,Male,79.7,70.7,11.2
Delhi,Urban,15-59 years,Person,53.6,47.7,11.1
Delhi,Rural,15 years and above,Male,72.2,71.8,0.6
Delhi,Rural,15 years and above,Person,44.7,44.4,0.5
Delhi,Total,15 years and above,Female,17.8,16.1,9.6
Delhi,Total,15 years and above,Male,75.2,67.3,10.6
Delhi,Total,15 years and above,Person,49.7,44.5,10.4
Delhi,Urban,15 years and above,Female,18,16.2,9.9
Delhi,Urban,15 years and above,Male,75.3,67.1,10.9
Delhi,Urban,15 years and above,Person,49.9,44.5,10.8
Delhi,Rural,All Ages,Female,9,9,0
Delhi,Rural,All Ages,Male,41.6,41.4,0.6
Delhi,Rural,All Ages,Person,26.7,26.6,0.5
Delhi,Total,All Ages,Female,13.7,12.4,9.6
Delhi,Total,All Ages,Male,56.8,50.8,10.6
Delhi,Total,All Ages,Person,37.5,33.6,10.4
Delhi,Urban,All Ages,Female,13.9,12.5,9.9
Delhi,Urban,All Ages,Male,57.6,51.3,10.9
Delhi,Urban,All Ages,Person,38.1,34,10.8
