State,Residence_Type,Level of current enrolment,Gender,Gross enrolment ratio ( ger )
Jammu And Kashmir,Total,Higher Secondary,Person,77.9
Jammu And Kashmir,Total,Post Higher Secondary,Person,34.0
Jammu And Kashmir,Total,Primary,Person,101.9
Jammu And Kashmir,Total,Primary To Higher Secondary,Person,98.9
Jammu And Kashmir,Total,Primary & Upper Primary,Person,100.2
Jammu And Kashmir,Total,Secondary,Person,115.9
Jammu And Kashmir,Total,Secondary And Higher Secondary,Person,96.1
Jammu And Kashmir,Total,Upper Primary,Person,96.9
Jammu And Kashmir,Urban,Higher Secondary,Female,95.5
Jammu And Kashmir,Urban,Post Higher Secondary,Female,51.1
Jammu And Kashmir,Urban,Primary,Female,101.7
Jammu And Kashmir,Urban,Primary To Higher Secondary,Female,98.4
Jammu And Kashmir,Urban,Primary & Upper Primary,Female,98.0
Jammu And Kashmir,Urban,Secondary,Female,101.9
Jammu And Kashmir,Urban,Secondary And Higher Secondary,Female,99.1
Jammu And Kashmir,Urban,Upper Primary,Female,91.7
Jammu And Kashmir,Urban,Higher Secondary,Male,87.3
Jammu And Kashmir,Urban,Post Higher Secondary,Male,38.5
Jammu And Kashmir,Urban,Primary,Male,105.5
Jammu And Kashmir,Urban,Primary To Higher Secondary,Male,99.7
Jammu And Kashmir,Urban,Primary & Upper Primary,Male,98.6
Jammu And Kashmir,Urban,Secondary,Male,117.8
Jammu And Kashmir,Urban,Secondary And Higher Secondary,Male,101.8
Jammu And Kashmir,Urban,Upper Primary,Male,87.2
Jammu And Kashmir,Urban,Higher Secondary,Person,90.3
Jammu And Kashmir,Urban,Post Higher Secondary,Person,43.5
Jammu And Kashmir,Urban,Primary,Person,103.9
Jammu And Kashmir,Urban,Primary To Higher Secondary,Person,99.1
Jammu And Kashmir,Urban,Primary & Upper Primary,Person,98.4
Jammu And Kashmir,Urban,Secondary,Person,110.8
Jammu And Kashmir,Urban,Secondary And Higher Secondary,Person,100.7
Jammu And Kashmir,Urban,Upper Primary,Person,89.1
Himachal Pradesh,Rural,Higher Secondary,Female,116.3
Himachal Pradesh,Rural,Post Higher Secondary,Female,34.5
Himachal Pradesh,Rural,Primary,Female,98.2
Himachal Pradesh,Rural,Primary To Higher Secondary,Female,100.5
Himachal Pradesh,Rural,Primary & Upper Primary,Female,98.0
Himachal Pradesh,Rural,Secondary,Female,93.3
Himachal Pradesh,Rural,Secondary And Higher Secondary,Female,104.8
Himachal Pradesh,Rural,Upper Primary,Female,97.8
Himachal Pradesh,Rural,Higher Secondary,Male,105.6
Himachal Pradesh,Rural,Post Higher Secondary,Male,29.4
Himachal Pradesh,Rural,Primary,Male,100.0
Himachal Pradesh,Rural,Primary To Higher Secondary,Male,99.3
Himachal Pradesh,Rural,Primary & Upper Primary,Male,94.9
Himachal Pradesh,Rural,Secondary,Male,108.0
Himachal Pradesh,Rural,Secondary And Higher Secondary,Male,106.9
Himachal Pradesh,Rural,Upper Primary,Male,89.0
Himachal Pradesh,Rural,Higher Secondary,Person,110.7
Himachal Pradesh,Rural,Post Higher Secondary,Person,32.1
Himachal Pradesh,Rural,Primary,Person,99.1
Himachal Pradesh,Rural,Primary To Higher Secondary,Person,99.9
Himachal Pradesh,Rural,Primary & Upper Primary,Person,96.4
Himachal Pradesh,Rural,Secondary,Person,101.3
Himachal Pradesh,Rural,Secondary And Higher Secondary,Person,105.9
Himachal Pradesh,Rural,Upper Primary,Person,93.0
Himachal Pradesh,Total,Higher Secondary,Female,116.3
Himachal Pradesh,Total,Post Higher Secondary,Female,35.8
Himachal Pradesh,Total,Primary,Female,98.4
Himachal Pradesh,Total,Primary To Higher Secondary,Female,100.7
Himachal Pradesh,Total,Primary & Upper Primary,Female,98.0
Himachal Pradesh,Total,Secondary,Female,94.4
Himachal Pradesh,Total,Secondary And Higher Secondary,Female,105.3
Himachal Pradesh,Total,Upper Primary,Female,97.5
Himachal Pradesh,Total,Higher Secondary,Male,106.7
Himachal Pradesh,Total,Post Higher Secondary,Male,32.7
Himachal Pradesh,Total,Primary,Male,100.1
Himachal Pradesh,Total,Primary To Higher Secondary,Male,99.4
Himachal Pradesh,Total,Primary & Upper Primary,Male,94.9
Himachal Pradesh,Total,Secondary,Male,107.5
Himachal Pradesh,Total,Secondary And Higher Secondary,Male,107.1
Himachal Pradesh,Total,Upper Primary,Male,88.8
Himachal Pradesh,Total,Higher Secondary,Person,111.4
Himachal Pradesh,Total,Post Higher Secondary,Person,34.4
Himachal Pradesh,Total,Primary,Person,99.3
Himachal Pradesh,Total,Primary To Higher Secondary,Person,100.0
Himachal Pradesh,Total,Primary & Upper Primary,Person,96.4
Himachal Pradesh,Total,Secondary,Person,101.4
Himachal Pradesh,Total,Secondary And Higher Secondary,Person,106.2
Himachal Pradesh,Total,Upper Primary,Person,92.8
Himachal Pradesh,Urban,Higher Secondary,Female,116.4
Himachal Pradesh,Urban,Post Higher Secondary,Female,48.9
Himachal Pradesh,Urban,Primary,Female,100.3
Himachal Pradesh,Urban,Primary To Higher Secondary,Female,102.1
Himachal Pradesh,Urban,Primary & Upper Primary,Female,97.9
Himachal Pradesh,Urban,Secondary,Female,101.6
Himachal Pradesh,Urban,Secondary And Higher Secondary,Female,108.5
Himachal Pradesh,Urban,Upper Primary,Female,94.1
Himachal Pradesh,Urban,Higher Secondary,Male,121.9
Himachal Pradesh,Urban,Post Higher Secondary,Male,60.6
Himachal Pradesh,Urban,Primary,Male,100.7
Himachal Pradesh,Urban,Primary To Higher Secondary,Male,101.2
Himachal Pradesh,Urban,Primary & Upper Primary,Male,96.0
Himachal Pradesh,Urban,Secondary,Male,101.9
Himachal Pradesh,Urban,Secondary And Higher Secondary,Male,110.2
Himachal Pradesh,Urban,Upper Primary,Male,84.1
Himachal Pradesh,Urban,Higher Secondary,Person,118.4
Himachal Pradesh,Urban,Post Higher Secondary,Person,54.7
Himachal Pradesh,Urban,Primary,Person,100.5
Himachal Pradesh,Urban,Primary To Higher Secondary,Person,101.7
Himachal Pradesh,Urban,Primary & Upper Primary,Person,97.1
Himachal Pradesh,Urban,Secondary,Person,101.7
Himachal Pradesh,Urban,Secondary And Higher Secondary,Person,109.1
Himachal Pradesh,Urban,Upper Primary,Person,90.7
Punjab,Rural,Higher Secondary,Female,84.4
Punjab,Rural,Post Higher Secondary,Female,23.7
Punjab,Rural,Primary,Female,107.7
Punjab,Rural,Primary To Higher Secondary,Female,96.7
Punjab,Rural,Primary & Upper Primary,Female,100.2
Punjab,Rural,Secondary,Female,92.4
Punjab,Rural,Secondary And Higher Secondary,Female,89.3
Punjab,Rural,Upper Primary,Female,87.5
Punjab,Rural,Higher Secondary,Male,79.2
Punjab,Rural,Post Higher Secondary,Male,17.7
Punjab,Rural,Primary,Male,103.3
Punjab,Rural,Primary To Higher Secondary,Male,96.9
Punjab,Rural,Primary & Upper Primary,Male,102.2
Punjab,Rural,Secondary,Male,95.5
Punjab,Rural,Secondary And Higher Secondary,Male,87.2
Punjab,Rural,Upper Primary,Male,100.6
Punjab,Rural,Higher Secondary,Person,80.9
Punjab,Rural,Post Higher Secondary,Person,20.2
Punjab,Rural,Primary,Person,105.2
Punjab,Rural,Primary To Higher Secondary,Person,96.8
Punjab,Rural,Primary & Upper Primary,Person,101.4
Punjab,Rural,Secondary,Person,94.1
Punjab,Rural,Secondary And Higher Secondary,Person,88.1
Punjab,Rural,Upper Primary,Person,95.2
Punjab,Total,Higher Secondary,Female,78.7
Punjab,Total,Post Higher Secondary,Female,27.8
Punjab,Total,Primary,Female,101.7
Punjab,Total,Primary To Higher Secondary,Female,95.0
Punjab,Total,Primary & Upper Primary,Female,97.2
Punjab,Total,Secondary,Female,98.5
Punjab,Total,Secondary And Higher Secondary,Female,90.1
Punjab,Total,Upper Primary,Female,89.0
Punjab,Total,Higher Secondary,Male,81.0
Punjab,Total,Post Higher Secondary,Male,20.1
Punjab,Total,Primary,Male,101.8
Punjab,Total,Primary To Higher Secondary,Male,96.8
Punjab,Total,Primary & Upper Primary,Male,101.1
Punjab,Total,Secondary,Male,95.7
Punjab,Total,Secondary And Higher Secondary,Male,88.4
Punjab,Total,Upper Primary,Male,99.8
Punjab,Total,Higher Secondary,Person,80.2
Punjab,Total,Post Higher Secondary,Person,23.2
Punjab,Total,Primary,Person,101.8
Punjab,Total,Primary To Higher Secondary,Person,96.0
Punjab,Total,Primary & Upper Primary,Person,99.4
Punjab,Total,Secondary,Person,96.9
Punjab,Total,Secondary And Higher Secondary,Person,89.1
Punjab,Total,Upper Primary,Person,95.2
Punjab,Urban,Higher Secondary,Female,68.4
Punjab,Urban,Post Higher Secondary,Female,35.9
Punjab,Urban,Primary,Female,91.4
Punjab,Urban,Primary To Higher Secondary,Female,91.7
Punjab,Urban,Primary & Upper Primary,Female,91.6
Punjab,Urban,Secondary,Female,118.8
Punjab,Urban,Secondary And Higher Secondary,Female,92.1
Punjab,Urban,Upper Primary,Female,92.1
Punjab,Urban,Higher Secondary,Male,85.7
Punjab,Urban,Post Higher Secondary,Male,23.8
Punjab,Urban,Primary,Male,99.3
Punjab,Urban,Primary To Higher Secondary,Male,96.5
Punjab,Urban,Primary & Upper Primary,Male,98.9
Punjab,Urban,Secondary,Male,96.2
Punjab,Urban,Secondary And Higher Secondary,Male,91.2
Punjab,Urban,Upper Primary,Male,98.0
Punjab,Urban,Higher Secondary,Person,78.6
Punjab,Urban,Post Higher Secondary,Person,28.2
Punjab,Urban,Primary,Person,95.8
Punjab,Urban,Primary To Higher Secondary,Person,94.5
Punjab,Urban,Primary & Upper Primary,Person,95.6
Punjab,Urban,Secondary,Person,104.3
Punjab,Urban,Secondary And Higher Secondary,Person,91.6
Punjab,Urban,Upper Primary,Person,95.3
Chandigarh,Rural,Higher Secondary,Female,166.7
Chandigarh,Rural,Post Higher Secondary,Female,5.8
Chandigarh,Rural,Primary,Female,100.0
Chandigarh,Rural,Primary To Higher Secondary,Female,114.1
Chandigarh,Rural,Primary & Upper Primary,Female,100.0
Chandigarh,Rural,Secondary,Female,108.7
Chandigarh,Rural,Secondary And Higher Secondary,Female,125.8
Chandigarh,Rural,Upper Primary,Female,100.0
Chandigarh,Rural,Higher Secondary,Male,0.0
Chandigarh,Rural,Post Higher Secondary,Male,52.1
Chandigarh,Rural,Primary,Male,234.5
Chandigarh,Rural,Primary To Higher Secondary,Male,142.8
Chandigarh,Rural,Primary & Upper Primary,Male,174.9
Chandigarh,Rural,Secondary,Male,1390.3
Chandigarh,Rural,Secondary And Higher Secondary,Male,98.4
Chandigarh,Rural,Upper Primary,Male,90.7
Chandigarh,Rural,Higher Secondary,Person,52.6
Chandigarh,Rural,Post Higher Secondary,Person,29.2
Chandigarh,Rural,Primary,Person,157.7
Chandigarh,Rural,Primary To Higher Secondary,Person,127.6
Chandigarh,Rural,Primary & Upper Primary,Person,139.9
Chandigarh,Rural,Secondary,Person,191.5
Chandigarh,Rural,Secondary And Higher Secondary,Person,114.6
Chandigarh,Rural,Upper Primary,Person,92.5
Chandigarh,Total,Higher Secondary,Female,86.7
Chandigarh,Total,Post Higher Secondary,Female,38.2
Chandigarh,Total,Primary,Female,106.2
Chandigarh,Total,Primary To Higher Secondary,Female,96.9
Chandigarh,Total,Primary & Upper Primary,Female,104.0
Chandigarh,Total,Secondary,Female,86.3
Chandigarh,Total,Secondary And Higher Secondary,Female,86.5
Chandigarh,Total,Upper Primary,Female,101.1
Chandigarh,Total,Higher Secondary,Male,107.9
Chandigarh,Total,Post Higher Secondary,Male,46.3
Chandigarh,Total,Primary,Male,92.1
Chandigarh,Total,Primary To Higher Secondary,Male,95.7
Chandigarh,Total,Primary & Upper Primary,Male,89.8
Chandigarh,Total,Secondary,Male,100.1
Chandigarh,Total,Secondary And Higher Secondary,Male,104.1
Chandigarh,Total,Upper Primary,Male,84.9
Chandigarh,Total,Higher Secondary,Person,98.2
Chandigarh,Total,Post Higher Secondary,Person,43.1
Chandigarh,Total,Primary,Person,97.7
Chandigarh,Total,Primary To Higher Secondary,Person,96.2
Chandigarh,Total,Primary & Upper Primary,Person,96.2
Chandigarh,Total,Secondary,Person,94.1
Chandigarh,Total,Secondary And Higher Secondary,Person,96.3
Chandigarh,Total,Upper Primary,Person,93.5
Chandigarh,Urban,Higher Secondary,Female,84.9
Chandigarh,Urban,Post Higher Secondary,Female,39.8
Chandigarh,Urban,Primary,Female,106.4
Chandigarh,Urban,Primary To Higher Secondary,Female,96.4
Chandigarh,Urban,Primary & Upper Primary,Female,104.1
Chandigarh,Urban,Secondary,Female,84.8
Chandigarh,Urban,Secondary And Higher Secondary,Female,84.9
Chandigarh,Urban,Upper Primary,Female,101.1
Chandigarh,Urban,Higher Secondary,Male,112.4
Chandigarh,Urban,Post Higher Secondary,Male,46.1
Chandigarh,Urban,Primary,Male,89.5
Chandigarh,Urban,Primary To Higher Secondary,Male,94.6
Chandigarh,Urban,Primary & Upper Primary,Male,88.0
Chandigarh,Urban,Secondary,Male,95.9
Chandigarh,Urban,Secondary And Higher Secondary,Male,104.3
Chandigarh,Urban,Upper Primary,Male,84.7
Chandigarh,Urban,Higher Secondary,Person,99.7
Chandigarh,Urban,Post Higher Secondary,Person,43.7
Chandigarh,Urban,Primary,Person,96.2
Chandigarh,Urban,Primary To Higher Secondary,Person,95.4
Chandigarh,Urban,Primary & Upper Primary,Person,95.2
Chandigarh,Urban,Secondary,Person,91.3
Chandigarh,Urban,Secondary And Higher Secondary,Person,95.7
Chandigarh,Urban,Upper Primary,Person,93.6
Uttarakhand,Rural,Higher Secondary,Female,100.9
Uttarakhand,Rural,Post Higher Secondary,Female,27.3
Uttarakhand,Rural,Primary,Female,95.9
Uttarakhand,Rural,Primary To Higher Secondary,Female,102.2
Uttarakhand,Rural,Primary & Upper Primary,Female,105.4
Uttarakhand,Rural,Secondary,Female,90.1
Uttarakhand,Rural,Secondary And Higher Secondary,Female,94.9
Uttarakhand,Rural,Upper Primary,Female,124.5
Uttarakhand,Rural,Higher Secondary,Male,117.1
Uttarakhand,Rural,Post Higher Secondary,Male,30.3
Uttarakhand,Rural,Primary,Male,99.0
Uttarakhand,Rural,Primary To Higher Secondary,Male,102.6
Uttarakhand,Rural,Primary & Upper Primary,Male,103.9
Uttarakhand,Rural,Secondary,Male,84.3
Uttarakhand,Rural,Secondary And Higher Secondary,Male,99.7
Uttarakhand,Rural,Upper Primary,Male,113.1
Uttarakhand,Rural,Higher Secondary,Person,110.1
Uttarakhand,Rural,Post Higher Secondary,Person,28.8
Uttarakhand,Rural,Primary,Person,97.6
Uttarakhand,Rural,Primary To Higher Secondary,Person,102.4
Uttarakhand,Rural,Primary & Upper Primary,Person,104.6
Uttarakhand,Rural,Secondary,Person,86.9
Uttarakhand,Rural,Secondary And Higher Secondary,Person,97.6
Uttarakhand,Rural,Upper Primary,Person,118.1
Uttarakhand,Total,Higher Secondary,Female,90.1
Uttarakhand,Total,Post Higher Secondary,Female,31.0
Uttarakhand,Total,Primary,Female,98.7
Uttarakhand,Total,Primary To Higher Secondary,Female,100.4
Uttarakhand,Total,Primary & Upper Primary,Female,105.8
Uttarakhand,Total,Secondary,Female,88.6
Uttarakhand,Total,Secondary And Higher Secondary,Female,89.3
Uttarakhand,Total,Upper Primary,Female,118.9
Uttarakhand,Total,Higher Secondary,Male,112.8
Uttarakhand,Total,Post Higher Secondary,Male,35.7
Uttarakhand,Total,Primary,Male,100.7
Uttarakhand,Total,Primary To Higher Secondary,Male,100.3
Uttarakhand,Total,Primary & Upper Primary,Male,102.6
Uttarakhand,Total,Secondary,Male,80.2
Uttarakhand,Total,Secondary And Higher Secondary,Male,95.0
Uttarakhand,Total,Upper Primary,Male,106.1
Uttarakhand,Total,Higher Secondary,Person,102.5
Uttarakhand,Total,Post Higher Secondary,Person,33.4
Uttarakhand,Total,Primary,Person,99.8
Uttarakhand,Total,Primary To Higher Secondary,Person,100.3
Uttarakhand,Total,Primary & Upper Primary,Person,104.0
Uttarakhand,Total,Secondary,Person,84.0
Uttarakhand,Total,Secondary And Higher Secondary,Person,92.4
Uttarakhand,Total,Upper Primary,Person,111.6
Uttarakhand,Urban,Higher Secondary,Female,61.9
Uttarakhand,Urban,Post Higher Secondary,Female,43.8
Uttarakhand,Urban,Primary,Female,111.5
Uttarakhand,Urban,Primary To Higher Secondary,Female,94.1
Uttarakhand,Urban,Primary & Upper Primary,Female,107.1
Uttarakhand,Urban,Secondary,Female,84.5
Uttarakhand,Urban,Secondary And Higher Secondary,Female,73.8
Uttarakhand,Urban,Upper Primary,Female,101.1
Uttarakhand,Urban,Higher Secondary,Male,97.5
Uttarakhand,Urban,Post Higher Secondary,Male,50.3
Uttarakhand,Urban,Primary,Male,106.1
Uttarakhand,Urban,Primary To Higher Secondary,Male,93.3
Uttarakhand,Urban,Primary & Upper Primary,Male,98.8
Uttarakhand,Urban,Secondary,Male,68.5
Uttarakhand,Urban,Secondary And Higher Secondary,Male,80.4
Uttarakhand,Urban,Upper Primary,Male,87.3
Uttarakhand,Urban,Higher Secondary,Person,79.4
Uttarakhand,Urban,Post Higher Secondary,Person,47.5
Uttarakhand,Urban,Primary,Person,108.0
Uttarakhand,Urban,Primary To Higher Secondary,Person,93.7
Uttarakhand,Urban,Primary & Upper Primary,Person,101.9
Uttarakhand,Urban,Secondary,Person,75.7
Uttarakhand,Urban,Secondary And Higher Secondary,Person,77.3
Uttarakhand,Urban,Upper Primary,Person,92.7
Haryana,Rural,Higher Secondary,Female,71.2
Haryana,Rural,Post Higher Secondary,Female,21.8
Haryana,Rural,Primary,Female,112.7
Haryana,Rural,Primary To Higher Secondary,Female,96.1
Haryana,Rural,Primary & Upper Primary,Female,103.4
Haryana,Rural,Secondary,Female,96.5
Haryana,Rural,Secondary And Higher Secondary,Female,84.3
Haryana,Rural,Upper Primary,Female,91.5
Haryana,Rural,Higher Secondary,Male,66.2
Haryana,Rural,Post Higher Secondary,Male,18.4
Haryana,Rural,Primary,Male,105.9
Haryana,Rural,Primary To Higher Secondary,Male,93.7
Haryana,Rural,Primary & Upper Primary,Male,100.7
Haryana,Rural,Secondary,Male,96.8
Haryana,Rural,Secondary And Higher Secondary,Male,81.4
Haryana,Rural,Upper Primary,Male,92.8
Haryana,Rural,Higher Secondary,Person,68.2
Haryana,Rural,Post Higher Secondary,Person,19.8
Haryana,Rural,Primary,Person,108.3
Haryana,Rural,Primary To Higher Secondary,Person,94.6
Haryana,Rural,Primary & Upper Primary,Person,101.7
Haryana,Rural,Secondary,Person,96.7
Haryana,Rural,Secondary And Higher Secondary,Person,82.5
Haryana,Rural,Upper Primary,Person,92.3
Haryana,Total,Higher Secondary,Female,72.0
Haryana,Total,Post Higher Secondary,Female,27.2
Haryana,Total,Primary,Female,109.7
Haryana,Total,Primary To Higher Secondary,Female,95.7
Haryana,Total,Primary & Upper Primary,Female,103.9
Haryana,Total,Secondary,Female,91.5
Haryana,Total,Secondary And Higher Secondary,Female,81.7
Haryana,Total,Upper Primary,Female,95.7
Haryana,Total,Higher Secondary,Male,70.2
Haryana,Total,Post Higher Secondary,Male,24.1
Haryana,Total,Primary,Male,104.3
Haryana,Total,Primary To Higher Secondary,Male,94.2
Haryana,Total,Primary & Upper Primary,Male,99.8
Haryana,Total,Secondary,Male,100.1
Haryana,Total,Secondary And Higher Secondary,Male,84.5
Haryana,Total,Upper Primary,Male,92.5
Haryana,Total,Higher Secondary,Person,70.9
Haryana,Total,Post Higher Secondary,Person,25.4
Haryana,Total,Primary,Person,106.3
Haryana,Total,Primary To Higher Secondary,Person,94.8
Haryana,Total,Primary & Upper Primary,Person,101.3
Haryana,Total,Secondary,Person,96.7
Haryana,Total,Secondary And Higher Secondary,Person,83.4
Haryana,Total,Upper Primary,Person,93.8
Haryana,Urban,Higher Secondary,Female,73.6
Haryana,Urban,Post Higher Secondary,Female,37.8
Haryana,Urban,Primary,Female,104.2
Haryana,Urban,Primary To Higher Secondary,Female,94.9
Haryana,Urban,Primary & Upper Primary,Female,104.8
Haryana,Urban,Secondary,Female,77.0
Haryana,Urban,Secondary And Higher Secondary,Female,75.1
Haryana,Urban,Upper Primary,Female,105.8
Haryana,Urban,Higher Secondary,Male,78.5
Haryana,Urban,Post Higher Secondary,Male,38.8
Haryana,Urban,Primary,Male,100.6
Haryana,Urban,Primary To Higher Secondary,Male,95.4
Haryana,Urban,Primary & Upper Primary,Male,97.5
Haryana,Urban,Secondary,Male,108.7
Haryana,Urban,Secondary And Higher Secondary,Male,91.9
Haryana,Urban,Upper Primary,Male,91.7
Haryana,Urban,Higher Secondary,Person,76.7
Haryana,Urban,Post Higher Secondary,Person,38.4
Haryana,Urban,Primary,Person,102.0
Haryana,Urban,Primary To Higher Secondary,Person,95.2
Haryana,Urban,Primary & Upper Primary,Person,100.5
Haryana,Urban,Secondary,Person,96.8
Haryana,Urban,Secondary And Higher Secondary,Person,85.7
Haryana,Urban,Upper Primary,Person,97.7
Delhi,Rural,Higher Secondary,Female,92.0
Delhi,Rural,Post Higher Secondary,Female,57.9
Delhi,Rural,Primary,Female,83.3
Delhi,Rural,Primary To Higher Secondary,Female,97.5
Delhi,Rural,Primary & Upper Primary,Female,92.9
Delhi,Rural,Secondary,Female,119.0
Delhi,Rural,Secondary And Higher Secondary,Female,99.8
Delhi,Rural,Upper Primary,Female,99.4
Delhi,Rural,Higher Secondary,Male,28.5
Delhi,Rural,Post Higher Secondary,Male,25.6
Delhi,Rural,Primary,Male,100.5
Delhi,Rural,Primary To Higher Secondary,Male,80.5
Delhi,Rural,Primary & Upper Primary,Male,83.0
Delhi,Rural,Secondary,Male,123.0
Delhi,Rural,Secondary And Higher Secondary,Male,78.9
Delhi,Rural,Upper Primary,Male,17.0
Delhi,Rural,Higher Secondary,Person,68.8
Delhi,Rural,Post Higher Secondary,Person,33.2
Delhi,Rural,Primary,Person,95.0
Delhi,Rural,Primary To Higher Secondary,Person,89.2
Delhi,Rural,Primary & Upper Primary,Person,87.8
Delhi,Rural,Secondary,Person,121.5
Delhi,Rural,Secondary And Higher Secondary,Person,90.0
Delhi,Rural,Upper Primary,Person,76.8
Delhi,Total,Higher Secondary,Female,86.2
Delhi,Total,Post Higher Secondary,Female,36.2
Delhi,Total,Primary,Female,101.2
Delhi,Total,Primary To Higher Secondary,Female,94.1
Delhi,Total,Primary & Upper Primary,Female,92.8
Delhi,Total,Secondary,Female,108.2
Delhi,Total,Secondary And Higher Secondary,Female,96.6
Delhi,Total,Upper Primary,Female,79.9
Delhi,Total,Higher Secondary,Male,92.9
Delhi,Total,Post Higher Secondary,Male,31.9
Delhi,Total,Primary,Male,100.1
Delhi,Total,Primary To Higher Secondary,Male,100.0
Delhi,Total,Primary & Upper Primary,Male,105.3
Delhi,Total,Secondary,Male,91.3
Delhi,Total,Secondary And Higher Secondary,Male,92.1
Delhi,Total,Upper Primary,Male,116.5
Delhi,Total,Higher Secondary,Person,90.3
Delhi,Total,Post Higher Secondary,Person,33.8
Delhi,Total,Primary,Person,100.6
Delhi,Total,Primary To Higher Secondary,Person,97.5
Delhi,Total,Primary & Upper Primary,Person,99.7
Delhi,Total,Secondary,Person,97.1
Delhi,Total,Secondary And Higher Secondary,Person,93.7
Delhi,Total,Upper Primary,Person,98.2
Delhi,Urban,Higher Secondary,Female,85.6
Delhi,Urban,Post Higher Secondary,Female,35.3
Delhi,Urban,Primary,Female,101.4
Delhi,Urban,Primary To Higher Secondary,Female,93.9
Delhi,Urban,Primary & Upper Primary,Female,92.8
Delhi,Urban,Secondary,Female,107.8
Delhi,Urban,Secondary And Higher Secondary,Female,96.4
Delhi,Urban,Upper Primary,Female,79.4
Delhi,Urban,Higher Secondary,Male,95.2
Delhi,Urban,Post Higher Secondary,Male,32.6
Delhi,Urban,Primary,Male,100.1
Delhi,Urban,Primary To Higher Secondary,Male,100.4
Delhi,Urban,Primary & Upper Primary,Male,105.7
Delhi,Urban,Secondary,Male,90.1
Delhi,Urban,Secondary And Higher Secondary,Male,92.5
Delhi,Urban,Upper Primary,Male,117.4
Delhi,Urban,Higher Secondary,Person,91.5
Delhi,Urban,Post Higher Secondary,Person,33.8
Delhi,Urban,Primary,Person,100.6
Delhi,Urban,Primary To Higher Secondary,Person,97.7
Delhi,Urban,Primary & Upper Primary,Person,99.9
Delhi,Urban,Secondary,Person,96.2
Delhi,Urban,Secondary And Higher Secondary,Person,93.9
Delhi,Urban,Upper Primary,Person,98.6
Rajasthan,Rural,Higher Secondary,Female,67.4
Rajasthan,Rural,Post Higher Secondary,Female,19.2
Rajasthan,Rural,Primary,Female,111.2
Rajasthan,Rural,Primary To Higher Secondary,Female,89.9
Rajasthan,Rural,Primary & Upper Primary,Female,102.3
Rajasthan,Rural,Secondary,Female,63.5
Rajasthan,Rural,Secondary And Higher Secondary,Female,65.2
Rajasthan,Rural,Upper Primary,Female,88.4
Rajasthan,Rural,Higher Secondary,Male,73.1
Rajasthan,Rural,Post Higher Secondary,Male,30.2
Rajasthan,Rural,Primary,Male,111.6
Rajasthan,Rural,Primary To Higher Secondary,Male,96.7
Rajasthan,Rural,Primary & Upper Primary,Male,103.0
Rajasthan,Rural,Secondary,Male,94.0
Rajasthan,Rural,Secondary And Higher Secondary,Male,84.4
Rajasthan,Rural,Upper Primary,Male,87.8
Rajasthan,Rural,Higher Secondary,Person,70.5
