State,Residence_Type,Gender,Age group of children in months,Children without any immunisation (%),Fully immunised children (%),Sample number of children
Himachal Pradesh,Rural,boy,6<=Age<=11,0,28.3,243
Himachal Pradesh,Rural,boy,all (0-71 months),3.2,65.6,1082
Himachal Pradesh,Rural,children,0<=Age<6,1.8,0,192
Himachal Pradesh,Rural,children,12<=Age<=23,0,67.7,107
Himachal Pradesh,Rural,children,24<=AgW=35,0,90.6,153
Himachal Pradesh,Rural,children,36<=AgW=t7,8.6,78.1,144
Himachal Pradesh,Rural,children,48<=Age<=59,0.1,95.7,151
Himachal Pradesh,Rural,children,60<=Age<=71,0,97.4,92
Himachal Pradesh,Rural,children,6<=Age<=11,0,21.9,243
Himachal Pradesh,Rural,children,all (0-71 months),1.8,72.5,1082
Himachal Pradesh,Rural,girl,0<=Age<6,2.3,0,192
Himachal Pradesh,Rural,girl,12<=Age<=23,0,78.2,107
Himachal Pradesh,Rural,girl,24<=AgW=35,0,93.6,153
Himachal Pradesh,Rural,girl,36<=AgW=t7,1.4,98.3,144
Himachal Pradesh,Rural,girl,48<=Age<=59,0.2,98.4,151
Himachal Pradesh,Rural,girl,60<=Age<=71,0,96.8,92
Himachal Pradesh,Rural,girl,6<=Age<=11,0,13.1,243
Himachal Pradesh,Rural,girl,all (0-71 months),0.4,79.8,1082
Himachal Pradesh,Total,boy,0<=Age<6,1.3,0,231
Himachal Pradesh,Total,boy,12<=Age<=23,0,58.2,121
Himachal Pradesh,Total,boy,24<=AgW=35,0,87.5,177
Himachal Pradesh,Total,boy,36<=AgW=t7,13.1,65.1,174
Himachal Pradesh,Total,boy,48<=Age<=59,0,93.7,181
Himachal Pradesh,Total,boy,60<=Age<=71,0,98.8,111
Himachal Pradesh,Total,boy,6<=Age<=11,0,27.9,308
Himachal Pradesh,Total,boy,all (0-71 months),2.9,66.3,1303
Himachal Pradesh,Total,children,0<=Age<6,1.7,0,231
Himachal Pradesh,Total,children,12<=Age<=23,0,65.9,121
Himachal Pradesh,Total,children,24<=AgW=35,0.1,89.6,177
Himachal Pradesh,Total,children,36<=AgW=t7,7.7,75.6,174
Himachal Pradesh,Total,children,48<=Age<=59,0.1,96.2,181
Himachal Pradesh,Total,children,60<=Age<=71,0,97.6,111
Himachal Pradesh,Total,children,6<=Age<=11,0,21.9,308
Himachal Pradesh,Total,children,all (0-71 months),1.7,72,1303
Himachal Pradesh,Total,girl,0<=Age<6,2.2,0,231
Himachal Pradesh,Total,girl,12<=Age<=23,0,73.8,121
Himachal Pradesh,Total,girl,24<=AgW=35,0.2,91.8,177
Himachal Pradesh,Total,girl,36<=AgW=t7,1.1,88.3,174
Himachal Pradesh,Total,girl,48<=Age<=59,0.2,98.5,181
Himachal Pradesh,Total,girl,60<=Age<=71,0,97,111
Himachal Pradesh,Total,girl,6<=Age<=11,0,14.1,308
Himachal Pradesh,Total,girl,all (0-71 months),0.4,77.8,1303
Himachal Pradesh,Urban,boy,0<=Age<6,0,0,39
Himachal Pradesh,Urban,boy,12<=Age<=23,0,70.5,14
Himachal Pradesh,Urban,boy,24<=AgW=35,0,77.5,24
Himachal Pradesh,Urban,boy,36<=AgW=t7,0,86.4,30
Himachal Pradesh,Urban,boy,48<=Age<=59,0,100,30
Himachal Pradesh,Urban,boy,60<=Age<=71,0,100,19
Himachal Pradesh,Urban,boy,6<=Age<=11,0,22,65
Himachal Pradesh,Urban,boy,all (0-71 months),0,75.3,221
Himachal Pradesh,Urban,children,0<=Age<6,0,0,39
Himachal Pradesh,Urban,children,12<=Age<=23,0,46.4,14
Himachal Pradesh,Urban,children,24<=AgW=35,1,77,24
Himachal Pradesh,Urban,children,36<=AgW=t7,0,54.6,30
Himachal Pradesh,Urban,children,48<=Age<=59,0.2,99.8,30
Himachal Pradesh,Urban,children,60<=Age<=71,0,99.6,19
Himachal Pradesh,Urban,children,6<=Age<=11,0,22.7,65
Himachal Pradesh,Urban,children,all (0-71 months),0.2,66.9,221
Himachal Pradesh,Urban,girl,0<=Age<6,0,0,39
Himachal Pradesh,Urban,girl,12<=Age<=23,0,6.9,14
Himachal Pradesh,Urban,girl,24<=AgW=35,1.5,76.8,24
Himachal Pradesh,Urban,girl,36<=AgW=t7,0,48.5,30
Himachal Pradesh,Urban,girl,48<=Age<=59,0.4,99.6,30
Himachal Pradesh,Urban,girl,60<=Age<=71,0,98.8,19
Himachal Pradesh,Urban,girl,6<=Age<=11,0,23.3,65
Himachal Pradesh,Urban,girl,all (0-71 months),0.3,60.9,221
Punjab,Rural,boy,0<=Age<6,1,0,186
Punjab,Rural,boy,12<=Age<=23,0,42.3,52
Punjab,Rural,boy,24<=AgW=35,5.3,62.1,124
Punjab,Rural,boy,36<=AgW=t7,2.1,89.3,107
Punjab,Rural,boy,48<=Age<=59,2.9,89.9,145
Punjab,Rural,boy,60<=Age<=71,2.5,95.8,103
Punjab,Rural,boy,6<=Age<=11,0,17.5,261
Punjab,Rural,boy,all (0-71 months),2.4,62.4,978
Punjab,Rural,children,0<=Age<6,1.3,0,186
Punjab,Rural,children,12<=Age<=23,0,50.8,52
Punjab,Rural,children,24<=AgW=35,9.5,68.7,124
Punjab,Rural,children,36<=AgW=t7,1.4,89.3,107
Punjab,Rural,children,48<=Age<=59,3.3,89.5,145
Punjab,Rural,children,60<=Age<=71,1,91.9,103
Punjab,Rural,children,6<=Age<=11,0.3,14.2,261
Punjab,Rural,children,all (0-71 months),3.1,65.2,978
Punjab,Rural,girl,0<=Age<6,1.8,0,186
Punjab,Rural,girl,12<=Age<=23,0.1,60.9,52
Punjab,Rural,girl,24<=AgW=35,13.6,75.2,124
Punjab,Rural,girl,36<=AgW=t7,0.8,89.3,107
Punjab,Rural,girl,48<=Age<=59,3.9,89,145
Punjab,Rural,girl,60<=Age<=71,0,89.2,103
Punjab,Rural,girl,6<=Age<=11,0.6,11,261
Punjab,Rural,girl,all (0-71 months),3.8,68,978
Punjab,Total,boy,0<=Age<6,1.8,0,356
Punjab,Total,boy,12<=Age<=23,0,59.7,111
Punjab,Total,boy,24<=AgW=35,3.5,55.5,252
Punjab,Total,boy,36<=AgW=t7,1.9,85.9,245
Punjab,Total,boy,48<=Age<=59,4.9,78.5,262
Punjab,Total,boy,60<=Age<=71,2,96.8,184
Punjab,Total,boy,6<=Age<=11,0.2,15.3,523
Punjab,Total,boy,all (0-71 months),2.4,61.9,1933
Punjab,Total,children,0<=Age<6,2.3,0,356
Punjab,Total,children,12<=Age<=23,0.1,55,111
Punjab,Total,children,24<=AgW=35,8.6,59,252
Punjab,Total,children,36<=AgW=t7,3.2,83.3,245
Punjab,Total,children,48<=Age<=59,4.7,80.4,262
Punjab,Total,children,60<=Age<=71,1,93.7,184
Punjab,Total,children,6<=Age<=11,0.3,13.8,523
Punjab,Total,children,all (0-71 months),3.6,61.8,1933
Punjab,Total,girl,0<=Age<6,3,0,356
Punjab,Total,girl,12<=Age<=23,0.2,49.6,111
Punjab,Total,girl,24<=AgW=35,14.3,62.9,252
Punjab,Total,girl,36<=AgW=t7,4.6,79.8,245
Punjab,Total,girl,48<=Age<=59,4.5,83,262
Punjab,Total,girl,60<=Age<=71,0,90.7,184
Punjab,Total,girl,6<=Age<=11,0.4,12.3,523
Punjab,Total,girl,all (0-71 months),4.9,61.4,1933
Punjab,Urban,boy,0<=Age<6,3,0,170
Punjab,Urban,boy,12<=Age<=23,0,85.6,59
Punjab,Urban,boy,24<=AgW=35,1.2,47.5,128
Punjab,Urban,boy,36<=AgW=t7,1.8,83.3,138
Punjab,Urban,boy,48<=Age<=59,8.1,59.8,117
Punjab,Urban,boy,60<=Age<=71,1.4,98,81
Punjab,Urban,boy,6<=Age<=11,0.5,11.3,262
Punjab,Urban,boy,all (0-71 months),2.4,61.2,955
Punjab,Urban,children,0<=Age<6,3.9,0,170
Punjab,Urban,children,12<=Age<=23,0.2,60.9,59
Punjab,Urban,children,24<=AgW=35,7.3,45.2,128
Punjab,Urban,children,36<=AgW=t7,5,77.2,138
Punjab,Urban,children,48<=Age<=59,7,65.9,117
Punjab,Urban,children,60<=Age<=71,0.9,97.5,81
Punjab,Urban,children,6<=Age<=11,0.3,13,262
Punjab,Urban,children,all (0-71 months),4.2,56.7,955
Punjab,Urban,girl,0<=Age<6,5.1,0,170
Punjab,Urban,girl,12<=Age<=23,0.4,34.5,59
Punjab,Urban,girl,24<=AgW=35,15.5,42.2,128
Punjab,Urban,girl,36<=AgW=t7,10.6,64.6,138
Punjab,Urban,girl,48<=Age<=59,5.5,73.6,117
Punjab,Urban,girl,60<=Age<=71,0,96.3,81
Punjab,Urban,girl,6<=Age<=11,0,14.7,262
Punjab,Urban,girl,all (0-71 months),6.8,49.5,955
Chandigarh,Rural,boy,0<=AgW6,0,0,7
Chandigarh,Rural,boy,12<=AgW=23,0,0,4
Chandigarh,Rural,boy,24<=Age<=35,0,98,5
Chandigarh,Rural,boy,36<=AgW=47,0,100,5
Chandigarh,Rural,boy,48<=AgW=59,52.5,47.5,6
Chandigarh,Rural,boy,60<=AgW=71,24.7,75.3,5
Chandigarh,Rural,boy,6<=AgW=11,0,0,12
Chandigarh,Rural,boy,all (0-71 months),8.1,28.2,44
Chandigarh,Rural,children,0<=AgW6,0,0,7
Chandigarh,Rural,children,12<=AgW=23,0,0,4
Chandigarh,Rural,children,24<=Age<=35,0,69,5
Chandigarh,Rural,children,36<=AgW=47,0,21.3,5
Chandigarh,Rural,children,48<=AgW=59,85.6,14.4,6
Chandigarh,Rural,children,60<=AgW=71,4.2,92.3,5
Chandigarh,Rural,children,6<=AgW=11,0,0,12
Chandigarh,Rural,children,all (0-71 months),14.7,17.8,44
Chandigarh,Rural,girl,0<=AgW6,0,0,7
Chandigarh,Rural,girl,12<=AgW=23,0,0,4
Chandigarh,Rural,girl,24<=Age<=35,0,0,5
Chandigarh,Rural,girl,36<=AgW=47,0,14.5,5
Chandigarh,Rural,girl,48<=AgW=59,100,0,6
Chandigarh,Rural,girl,60<=AgW=71,0,95.7,5
Chandigarh,Rural,girl,6<=AgW=11,0,0,12
Chandigarh,Rural,girl,all (0-71 months),18.6,11.6,44
Chandigarh,Total,boy,0<=AgW6,0,0,39
Chandigarh,Total,boy,12<=AgW=23,0,78.3,13
Chandigarh,Total,boy,24<=Age<=35,29.4,41.4,26
Chandigarh,Total,boy,36<=Age<=47,0,84.5,16
Chandigarh,Total,boy,48<=AgW=59,0.4,97.9,21
Chandigarh,Total,boy,60<=AgW=71,0,98.9,19
Chandigarh,Total,boy,6<=AgW=11,0,16.5,42
Chandigarh,Total,boy,all (0-71 months),8.9,64.5,176
Chandigarh,Total,children,0<=AgW6,0,0,39
Chandigarh,Total,children,12<=AgW=23,0,62.3,13
Chandigarh,Total,children,24<=Age<=35,26.5,44.5,26
Chandigarh,Total,children,36<=Age<=47,0,91.8,16
Chandigarh,Total,children,48<=AgW=59,1.8,92.9,21
Chandigarh,Total,children,60<=AgW=71,0,99.2,19
Chandigarh,Total,children,6<=AgW=11,0,14.1,42
Chandigarh,Total,children,all (0-71 months),6.6,64.9,176
Chandigarh,Total,girl,0<=AgW6,0,0,39
Chandigarh,Total,girl,12<=AgW=23,0,51,13
Chandigarh,Total,girl,24<=Age<=35,0,73.2,26
Chandigarh,Total,girl,36<=Age<=47,0,98,16
Chandigarh,Total,girl,48<=AgW=59,9.5,66.2,21
Chandigarh,Total,girl,60<=AgW=71,0,99.9,19
Chandigarh,Total,girl,6<=AgW=11,0,6.2,42
Chandigarh,Total,girl,all (0-71 months),0.8,66,176
Chandigarh,Urban,boy,0<=AgW6,0,0,32
Chandigarh,Urban,boy,12<=AgW=23,0,81.4,9
Chandigarh,Urban,boy,24<=Age<=35,29.5,41,21
Chandigarh,Urban,boy,36<=Age<=47,0,84.5,11
Chandigarh,Urban,boy,48<=AgW=59,0,98.3,15
Chandigarh,Urban,boy,60<=AgW=71,0,98.9,14
Chandigarh,Urban,boy,6<=AgW=11,0,16.9,30
Chandigarh,Urban,boy,all (0-71 months),8.9,64.8,132
Chandigarh,Urban,children,0<=AgW6,0,0,32
Chandigarh,Urban,children,12<=AgW=23,0,63.5,9
Chandigarh,Urban,children,24<=Age<=35,26.7,44.3,21
Chandigarh,Urban,children,36<=Age<=47,0,92.8,11
Chandigarh,Urban,children,48<=AgW=59,0,94.7,15
Chandigarh,Urban,children,60<=AgW=71,0,99.2,14
Chandigarh,Urban,children,6<=AgW=11,0,15.1,30
Chandigarh,Urban,children,all (0-71 months),6.4,65.9,132
Chandigarh,Urban,girl,0<=AgW6,0,0,32
Chandigarh,Urban,girl,12<=AgW=23,0,51.2,9
Chandigarh,Urban,girl,24<=Age<=35,0,74.9,21
Chandigarh,Urban,girl,36<=Age<=47,0,100,11
Chandigarh,Urban,girl,48<=AgW=59,0,73.2,15
Chandigarh,Urban,girl,60<=AgW=71,0,100,14
Chandigarh,Urban,girl,6<=AgW=11,0,7.8,30
Chandigarh,Urban,girl,all (0-71 months),0,68.4,132
Uttarakhand,Rural,boy,0<=AgW6,0.6,0,95
Uttarakhand,Rural,boy,12<=AgW=23,0,60,37
Uttarakhand,Rural,boy,24<=Age<=35,0,87,103
Uttarakhand,Rural,boy,36<=Age<=47,0,72.6,122
Uttarakhand,Rural,boy,48<=AgW=59,0,94.1,128
Uttarakhand,Rural,boy,60<=AgW=71,0,99.2,58
Uttarakhand,Rural,boy,6<=AgW=11,0,7.5,198
Uttarakhand,Rural,boy,all (0-71 months),0,73.3,741
Uttarakhand,Rural,children,0<=AgW6,1.5,0,95
Uttarakhand,Rural,children,12<=AgW=23,0,45.9,37
Uttarakhand,Rural,children,24<=Age<=35,0,73.6,103
Uttarakhand,Rural,children,36<=Age<=47,0,74.8,122
Uttarakhand,Rural,children,48<=AgW=59,0,92,128
Uttarakhand,Rural,children,60<=AgW=71,0,95.8,58
Uttarakhand,Rural,children,6<=AgW=11,0,13.3,198
Uttarakhand,Rural,children,all (0-71 months),0.1,69.4,741
Uttarakhand,Rural,girl,0<=AgW6,2.4,0,95
Uttarakhand,Rural,girl,12<=AgW=23,0,35,37
Uttarakhand,Rural,girl,24<=Age<=35,0,60.3,103
Uttarakhand,Rural,girl,36<=Age<=47,0,75.8,122
Uttarakhand,Rural,girl,48<=AgW=59,0,90.2,128
Uttarakhand,Rural,girl,60<=AgW=71,0,94.3,58
Uttarakhand,Rural,girl,6<=AgW=11,0,17.2,198
Uttarakhand,Rural,girl,all (0-71 months),0.1,66.5,741
Uttarakhand,Total,boy,0<=AgW6,0.6,0,167
Uttarakhand,Total,boy,12<=AgW=23,0,56.7,56
Uttarakhand,Total,boy,24<=Age<=35,0,83.6,150
Uttarakhand,Total,boy,36<=Age<=47,0,81.2,176
Uttarakhand,Total,boy,48<=AgW=59,0,94.1,206
Uttarakhand,Total,boy,60<=AgW=71,0,99.2,85
Uttarakhand,Total,boy,6<=AgW=11,0,9.7,330
Uttarakhand,Total,boy,all (0-71 months),0,74.9,1170
Uttarakhand,Total,children,0<=AgW6,1.9,0,167
Uttarakhand,Total,children,12<=AgW=23,0,47.4,56
Uttarakhand,Total,children,24<=Age<=35,0,71.3,150
Uttarakhand,Total,children,36<=Age<=47,0,80.2,176
Uttarakhand,Total,children,48<=AgW=59,0,90.7,206
Uttarakhand,Total,children,60<=AgW=71,0,96.4,85
Uttarakhand,Total,children,6<=AgW=11,0,14.7,330
Uttarakhand,Total,children,all (0-71 months),0.1,70.5,1170
Uttarakhand,Total,girl,0<=AgW6,3.2,0,167
Uttarakhand,Total,girl,12<=AgW=23,0,39.3,56
Uttarakhand,Total,girl,24<=Age<=35,0,59.2,150
Uttarakhand,Total,girl,36<=Age<=47,0,79.6,176
Uttarakhand,Total,girl,48<=AgW=59,0,86.7,206
Uttarakhand,Total,girl,60<=AgW=71,0,94.5,85
Uttarakhand,Total,girl,6<=AgW=11,0,18.6,330
Uttarakhand,Total,girl,all (0-71 months),0.2,66.6,1170
Uttarakhand,Urban,boy,0<=AgW6,0.7,0,72
Uttarakhand,Urban,boy,12<=AgW=23,0,45.5,19
Uttarakhand,Urban,boy,24<=Age<=35,0,67.1,47
Uttarakhand,Urban,boy,36<=Age<=47,0,95.4,54
Uttarakhand,Urban,boy,48<=AgW=59,0,94.1,78
Uttarakhand,Urban,boy,60<=AgW=71,0,99.3,27
Uttarakhand,Urban,boy,6<=AgW=11,0,15.7,132
Uttarakhand,Urban,boy,all (0-71 months),0,78.5,429
Uttarakhand,Urban,children,0<=AgW6,2.8,0,72
Uttarakhand,Urban,children,12<=AgW=23,0,53.8,19
Uttarakhand,Urban,children,24<=Age<=35,0,60.5,47
Uttarakhand,Urban,children,36<=Age<=47,0,96.3,54
Uttarakhand,Urban,children,48<=AgW=59,0,87.5,78
Uttarakhand,Urban,children,60<=AgW=71,0,98.2,27
Uttarakhand,Urban,children,6<=AgW=11,0,20.2,132
Uttarakhand,Urban,children,all (0-71 months),0.2,74.2,429
Uttarakhand,Urban,girl,0<=AgW6,6,0,72
Uttarakhand,Urban,girl,12<=AgW=23,0,65.4,19
Uttarakhand,Urban,girl,24<=Age<=35,0,54,47
Uttarakhand,Urban,girl,36<=Age<=47,0,97.8,54
Uttarakhand,Urban,girl,48<=AgW=59,0,71.1,78
Uttarakhand,Urban,girl,60<=AgW=71,0,95.6,27
Uttarakhand,Urban,girl,6<=AgW=11,0,26.5,132
Uttarakhand,Urban,girl,all (0-71 months),0.4,67,429
Haryana,Rural,boy,0<=AgW6,2.6,0,156
Haryana,Rural,boy,12<=Age<=23,0,80.8,90
Haryana,Rural,boy,24<=AgW=35,0,90.9,180
Haryana,Rural,boy,36<=AgWm7,0.1,89,199
Haryana,Rural,boy,48<=Age<=59,0.2,98.9,184
Haryana,Rural,boy,60<=Age<-71,0,98.8,101
Haryana,Rural,boy,6<=AgW=11,0.6,21.8,290
Haryana,Rural,boy,all (0-71 months),0.3,76.2,1200
Haryana,Rural,children,0<=AgW6,1.9,0,156
Haryana,Rural,children,12<=Age<=23,0,79,90
Haryana,Rural,children,24<=AgW=35,2,85.5,180
Haryana,Rural,children,36<=AgWm7,0.1,91.8,199
Haryana,Rural,children,48<=Age<=59,0.2,98.3,184
Haryana,Rural,children,60<=Age<-71,1.4,91.3,101
Haryana,Rural,children,6<=AgW=11,0.3,19,290
Haryana,Rural,children,all (0-71 months),0.8,74.9,1200
Haryana,Rural,girl,0<=AgW6,1,0,156
Haryana,Rural,girl,12<=Age<=23,0,78,90
Haryana,Rural,girl,24<=AgW=35,4.1,79.7,180
Haryana,Rural,girl,36<=AgWm7,0.1,96.8,199
Haryana,Rural,girl,48<=Age<=59,0.2,97.8,184
Haryana,Rural,girl,60<=Age<-71,2.2,87,101
Haryana,Rural,girl,6<=AgW=11,0,16.1,290
Haryana,Rural,girl,all (0-71 months),1.3,73.6,1200
Haryana,Total,boy,0<=AgW6,1.9,0,306
Haryana,Total,boy,12<=Age<=23,0,65.2,174
Haryana,Total,boy,24<=AgW=35,0,87,290
Haryana,Total,boy,36<=AgWm7,0.1,87.9,331
Haryana,Total,boy,48<=Age<=59,0.1,95.6,317
Haryana,Total,boy,60<=Age<-71,0,98.6,174
Haryana,Total,boy,6<=AgW=11,0.4,20.5,509
Haryana,Total,boy,all (0-71 months),0.2,73.2,2101
Haryana,Total,children,0<=AgW6,1.3,0,306
Haryana,Total,children,12<=Age<=23,0,68.3,174
Haryana,Total,children,24<=AgW=35,1.4,85.1,290
Haryana,Total,children,36<=AgWm7,0.1,92.3,331
Haryana,Total,children,48<=Age<=59,0.2,96.3,317
Haryana,Total,children,60<=Age<-71,1.1,93,174
Haryana,Total,children,6<=AgW=11,0.2,17.1,509
Haryana,Total,children,all (0-71 months),0.5,72.1,2101
Haryana,Total,girl,0<=AgW6,0.7,0,306
Haryana,Total,girl,12<=Age<=23,0,72,174
Haryana,Total,girl,24<=AgW=35,3.3,82.4,290
Haryana,Total,girl,36<=AgWm7,0.1,98,331
Haryana,Total,girl,48<=Age<=59,0.3,97.1,317
Haryana,Total,girl,60<=Age<-71,1.9,88.9,174
Haryana,Total,girl,6<=AgW=11,0,14.2,509
Haryana,Total,girl,all (0-71 months),0.9,70.9,2101
Haryana,Urban,boy,0<=AgW6,0.7,0,150
Haryana,Urban,boy,12<=Age<=23,0,58.5,84
Haryana,Urban,boy,24<=AgW=35,0,80.8,110
Haryana,Urban,boy,36<=AgWm7,0,83.9,132
Haryana,Urban,boy,48<=Age<=59,0,90.6,133
Haryana,Urban,boy,60<=Age<-71,0,98.1,73
Haryana,Urban,boy,6<=AgW=11,0,17.2,219
Haryana,Urban,boy,all (0-71 months),0,68.2,901
Haryana,Urban,children,0<=AgW6,0.5,0,150
Haryana,Urban,children,12<=Age<=23,0,58.4,84
Haryana,Urban,children,24<=AgW=35,0,84.3,110
Haryana,Urban,children,36<=AgWm7,0.1,93.4,132
Haryana,Urban,children,48<=Age<=59,0.2,92.3,133
Haryana,Urban,children,60<=Age<-71,0,98.9,73
Haryana,Urban,children,6<=AgW=11,0,13.5,219
Haryana,Urban,children,all (0-71 months),0.1,66.9,901
Haryana,Urban,girl,0<=AgW6,0.4,0,150
Haryana,Urban,girl,12<=Age<=23,0,58.3,84
Haryana,Urban,girl,24<=AgW=35,0,94.5,110
Haryana,Urban,girl,36<=AgWm7,0.1,99.5,132
Haryana,Urban,girl,48<=Age<=59,0.6,95.2,133
Haryana,Urban,girl,60<=Age<-71,0,100,73
Haryana,Urban,girl,6<=AgW=11,0,11.3,219
Haryana,Urban,girl,all (0-71 months),0.2,65,901
Delhi,Rural,boy,0<=Age<6,0,0,7
Delhi,Rural,boy,12<=Age<=23,0,14.7,2
Delhi,Rural,boy,24<=AgW=35,0,0,7
Delhi,Rural,boy,36<=AgW=t7,0,0,4
Delhi,Rural,boy,48<=Age<=59,0,0,5
Delhi,Rural,boy,60<=Age<=71,0,100,6
Delhi,Rural,boy,6<=Age<=11,0,2.3,9
Delhi,Rural,boy,all (0-71 months),0,4.7,40
Delhi,Rural,children,0<=Age<6,43.4,0,7
Delhi,Rural,children,12<=Age<=23,0,14.7,2
Delhi,Rural,children,24<=AgW=35,0,1.3,7
Delhi,Rural,children,36<=AgW=t7,0,68.9,4
Delhi,Rural,children,48<=Age<=59,0,96.9,5
Delhi,Rural,children,60<=Age<=71,0,85.5,6
Delhi,Rural,children,6<=Age<=11,0,1.5,9
Delhi,Rural,children,all (0-71 months),4.7,23.3,40
Delhi,Rural,girl,0<=Age<6,49.3,0,7
Delhi,Rural,girl,12<=Age<=23,0,0,2
Delhi,Rural,girl,24<=AgW=35,0,2,7
Delhi,Rural,girl,36<=AgW=t7,0,100,4
Delhi,Rural,girl,48<=Age<=59,0,100,5
Delhi,Rural,girl,60<=Age<=71,0,84.6,6
