State,Residence_Type,Gender,Course type,Distribution of students pursuing various courses (%)
Punjab,Rural,Male,IT/ computer courses,1
Punjab,Rural,Male,law,0.2
Punjab,Rural,Male,management,0.1
Punjab,Rural,Male,medicine,0.1
Punjab,Rural,Male,others*,0.9
Punjab,Rural,Male,science,2.3
Punjab,Rural,Male,up to X,78.1
Punjab,Rural,Person,all (incl. n.r.),100
Punjab,Rural,Person,commerce,1.8
Punjab,Rural,Person,courses from ITI/ recognised vocational institutes,0.9
Punjab,Rural,Person,engineering,1.1
Punjab,Rural,Person,humanities,12.5
Punjab,Rural,Person,IT/ computer courses,0.9
Punjab,Rural,Person,law,0.1
Punjab,Rural,Person,management,0.3
Punjab,Rural,Person,medicine,0.3
Punjab,Rural,Person,others*,1.2
Punjab,Rural,Person,science,2.1
Punjab,Rural,Person,up to X,78.7
Punjab,Total,Female,all (incl. n.r.),100
Punjab,Total,Female,commerce,3.3
Punjab,Total,Female,courses from ITI/ recognised vocational institutes,0.4
Punjab,Total,Female,engineering,0.7
Punjab,Total,Female,humanities,10.8
Punjab,Total,Female,IT/ computer courses,1.2
Punjab,Total,Female,law,0
Punjab,Total,Female,management,0.9
Punjab,Total,Female,medicine,0.7
Punjab,Total,Female,others*,1.6
Punjab,Total,Female,science,1.8
Punjab,Total,Female,up to X,78.6
Punjab,Total,Male,all (incl. n.r.),100
Punjab,Total,Male,commerce,2.8
Punjab,Total,Male,courses from ITI/ recognised vocational institutes,0.9
Punjab,Total,Male,engineering,2.8
Punjab,Total,Male,humanities,10.8
Punjab,Total,Male,IT/ computer courses,1
Punjab,Total,Male,law,0.3
Punjab,Total,Male,management,0.5
Punjab,Total,Male,medicine,0.2
Punjab,Total,Male,others*,0.9
Punjab,Total,Male,science,2.8
Punjab,Total,Male,up to X,76.9
Punjab,Total,Person,all (incl. n.r.),100
Punjab,Total,Person,commerce,3
Punjab,Total,Person,courses from ITI/ recognised vocational institutes,0.7
Punjab,Total,Person,engineering,1.9
Punjab,Total,Person,humanities,10.8
Punjab,Total,Person,IT/ computer courses,1.1
Punjab,Total,Person,law,0.2
Punjab,Total,Person,management,0.7
Punjab,Total,Person,medicine,0.4
Punjab,Total,Person,others*,1.2
Punjab,Total,Person,science,2.4
Punjab,Total,Person,up to X,77.6
Punjab,Urban,Female,all (incl. n.r.),100
Punjab,Urban,Female,commerce,5.6
Punjab,Urban,Female,courses from ITI/ recognised vocational institutes,0
Punjab,Urban,Female,engineering,1
Punjab,Urban,Female,humanities,8.8
Punjab,Urban,Female,IT/ computer courses,1.6
Punjab,Urban,Female,law,0.1
Punjab,Urban,Female,management,1.6
Punjab,Urban,Female,medicine,0.9
Punjab,Urban,Female,others*,1.4
Punjab,Urban,Female,science,1.9
Punjab,Urban,Female,up to X,77
Punjab,Urban,Male,all (incl. n.r.),100
Punjab,Urban,Male,commerce,5.2
Punjab,Urban,Male,courses from ITI/ recognised vocational institutes,0.6
Punjab,Urban,Male,engineering,5.2
Punjab,Urban,Male,humanities,6.7
Punjab,Urban,Male,IT/ computer courses,1.1
Punjab,Urban,Male,law,0.4
Punjab,Urban,Male,management,1.3
Punjab,Urban,Male,medicine,0.4
Punjab,Urban,Male,others*,0.7
Punjab,Urban,Male,science,3.7
Punjab,Urban,Male,up to X,74.6
Punjab,Urban,Person,all (incl. n.r.),100
Punjab,Urban,Person,commerce,5.4
Punjab,Urban,Person,courses from ITI/ recognised vocational institutes,0.4
Punjab,Urban,Person,engineering,3.5
Punjab,Urban,Person,humanities,7.6
Punjab,Urban,Person,IT/ computer courses,1.3
Punjab,Urban,Person,law,0.3
Punjab,Urban,Person,management,1.4
Punjab,Urban,Person,medicine,0.6
Punjab,Urban,Person,others*,1
Punjab,Urban,Person,science,3
Punjab,Urban,Person,up to X,75.6
Chandigarh,Rural,Female,all (incl. n.r.),100
Chandigarh,Rural,Female,commerce,13.9
Chandigarh,Rural,Female,courses from ITI/ recognised vocational institutes,0
Chandigarh,Rural,Female,engineering,1.3
Chandigarh,Rural,Female,humanities,12.1
Chandigarh,Rural,Female,IT/ computer courses,0
Chandigarh,Rural,Female,law,0
Chandigarh,Rural,Female,management,0
Chandigarh,Rural,Female,medicine,1.3
Chandigarh,Rural,Female,others*,1.3
Chandigarh,Rural,Female,science,0.2
Chandigarh,Rural,Female,up to X,69.9
Chandigarh,Rural,Male,all (incl. n.r.),100
Chandigarh,Rural,Male,commerce,12
Chandigarh,Rural,Male,courses from ITI/ recognised vocational institutes,0
Chandigarh,Rural,Male,engineering,1.1
Chandigarh,Rural,Male,humanities,0.9
Chandigarh,Rural,Male,IT/ computer courses,0.6
Chandigarh,Rural,Male,law,0
Chandigarh,Rural,Male,management,0.1
Chandigarh,Rural,Male,medicine,0
Chandigarh,Rural,Male,others*,0
Chandigarh,Rural,Male,science,0
Chandigarh,Rural,Male,up to X,85.2
Chandigarh,Rural,Person,all (incl. n.r.),100
Chandigarh,Rural,Person,commerce,12.7
Chandigarh,Rural,Person,courses from ITI/ recognised vocational institutes,0
Chandigarh,Rural,Person,engineering,1.2
Chandigarh,Rural,Person,humanities,4.9
Chandigarh,Rural,Person,IT/ computer courses,0.4
Chandigarh,Rural,Person,law,0
Chandigarh,Rural,Person,management,0.1
Chandigarh,Rural,Person,medicine,0.5
Chandigarh,Rural,Person,others*,0.5
Chandigarh,Rural,Person,science,0.1
Chandigarh,Rural,Person,up to X,79.7
Chandigarh,Total,Female,all (incl. n.r.),100
Chandigarh,Total,Female,commerce,7.2
Chandigarh,Total,Female,courses from ITI/ recognised vocational institutes,0.1
Chandigarh,Total,Female,engineering,2.2
Chandigarh,Total,Female,humanities,11.2
Chandigarh,Total,Female,IT/ computer courses,0.3
Chandigarh,Total,Female,law,0.1
Chandigarh,Total,Female,management,0.3
Chandigarh,Total,Female,medicine,1.6
Chandigarh,Total,Female,others*,0.6
Chandigarh,Total,Female,science,2.4
Chandigarh,Total,Female,up to X,74
Chandigarh,Total,Male,all (incl. n.r.),100
Chandigarh,Total,Male,commerce,6.6
Chandigarh,Total,Male,courses from ITI/ recognised vocational institutes,0.2
Chandigarh,Total,Male,engineering,4.7
Chandigarh,Total,Male,humanities,9.7
Chandigarh,Total,Male,IT/ computer courses,4.2
Chandigarh,Total,Male,law,0.3
Chandigarh,Total,Male,management,0.4
Chandigarh,Total,Male,medicine,0.4
Chandigarh,Total,Male,others*,1.2
Chandigarh,Total,Male,science,7.3
Chandigarh,Total,Male,up to X,64.8
Chandigarh,Total,Person,all (incl. n.r.),100
Chandigarh,Total,Person,commerce,6.9
Chandigarh,Total,Person,courses from ITI/ recognised vocational institutes,0.1
Chandigarh,Total,Person,engineering,3.6
Chandigarh,Total,Person,humanities,10.4
Chandigarh,Total,Person,IT/ computer courses,2.5
Chandigarh,Total,Person,law,0.2
Chandigarh,Total,Person,management,0.4
Chandigarh,Total,Person,medicine,1
Chandigarh,Total,Person,others*,1
Chandigarh,Total,Person,science,5.1
Chandigarh,Total,Person,up to X,68.9
Chandigarh,Urban,Female,all (incl. n.r.),100
Chandigarh,Urban,Female,commerce,7
Chandigarh,Urban,Female,courses from ITI/ recognised vocational institutes,0.1
Chandigarh,Urban,Female,engineering,2.2
Chandigarh,Urban,Female,humanities,11.2
Chandigarh,Urban,Female,IT/ computer courses,0.3
Chandigarh,Urban,Female,law,0.1
Chandigarh,Urban,Female,management,0.3
Chandigarh,Urban,Female,medicine,1.7
Chandigarh,Urban,Female,others*,0.6
Chandigarh,Urban,Female,science,2.4
Chandigarh,Urban,Female,up to X,74.1
Chandigarh,Urban,Male,all (incl. n.r.),100
Chandigarh,Urban,Male,commerce,6.5
Chandigarh,Urban,Male,courses from ITI/ recognised vocational institutes,0.2
Chandigarh,Urban,Male,engineering,4.8
Chandigarh,Urban,Male,humanities,10
Chandigarh,Urban,Male,IT/ computer courses,4.3
Chandigarh,Urban,Male,law,0.3
Chandigarh,Urban,Male,management,0.4
Chandigarh,Urban,Male,medicine,0.4
Chandigarh,Urban,Male,others*,1.3
Chandigarh,Urban,Male,science,7.6
Chandigarh,Urban,Male,up to X,64.1
Chandigarh,Urban,Person,all (incl. n.r.),100
Chandigarh,Urban,Person,commerce,6.7
Chandigarh,Urban,Person,courses from ITI/ recognised vocational institutes,0.1
Chandigarh,Urban,Person,engineering,3.6
Chandigarh,Urban,Person,humanities,10.6
Chandigarh,Urban,Person,IT/ computer courses,2.5
Chandigarh,Urban,Person,law,0.2
Chandigarh,Urban,Person,management,0.4
Chandigarh,Urban,Person,medicine,1
Chandigarh,Urban,Person,others*,1
Chandigarh,Urban,Person,science,5.3
Chandigarh,Urban,Person,up to X,68.6
Uttarakhand,Rural,Female,all (incl. n.r.),100
Uttarakhand,Rural,Female,commerce,0.8
Uttarakhand,Rural,Female,courses from ITI/ recognised vocational institutes,1.3
Uttarakhand,Rural,Female,engineering,0.1
Uttarakhand,Rural,Female,humanities,16.1
Uttarakhand,Rural,Female,IT/ computer courses,0
Uttarakhand,Rural,Female,law,0
Uttarakhand,Rural,Female,management,0
Uttarakhand,Rural,Female,medicine,0.1
Uttarakhand,Rural,Female,others*,0.9
Uttarakhand,Rural,Female,science,3.5
Uttarakhand,Rural,Female,up to X,77.2
Uttarakhand,Rural,Male,all (incl. n.r.),100
Uttarakhand,Rural,Male,commerce,1.5
Uttarakhand,Rural,Male,courses from ITI/ recognised vocational institutes,1
Uttarakhand,Rural,Male,engineering,0.6
Uttarakhand,Rural,Male,humanities,9.3
Uttarakhand,Rural,Male,IT/ computer courses,0.1
Uttarakhand,Rural,Male,law,0
Uttarakhand,Rural,Male,management,0.1
Uttarakhand,Rural,Male,medicine,0.4
Uttarakhand,Rural,Male,others*,0.8
Uttarakhand,Rural,Male,science,11.2
Uttarakhand,Rural,Male,up to X,75.1
Uttarakhand,Rural,Person,all (incl. n.r.),100
Uttarakhand,Rural,Person,commerce,1.2
Uttarakhand,Rural,Person,courses from ITI/ recognised vocational institutes,1.1
Uttarakhand,Rural,Person,engineering,0.4
Uttarakhand,Rural,Person,humanities,12.4
Uttarakhand,Rural,Person,IT/ computer courses,0.1
Uttarakhand,Rural,Person,law,0
Uttarakhand,Rural,Person,management,0.1
Uttarakhand,Rural,Person,medicine,0.2
Uttarakhand,Rural,Person,others*,0.8
Uttarakhand,Rural,Person,science,7.6
Uttarakhand,Rural,Person,up to X,76.1
Uttarakhand,Total,Female,all (incl. n.r.),100
Uttarakhand,Total,Female,commerce,1.5
Uttarakhand,Total,Female,courses from ITI/ recognised vocational institutes,1
Uttarakhand,Total,Female,engineering,1.2
Uttarakhand,Total,Female,humanities,14.6
Uttarakhand,Total,Female,IT/ computer courses,0.1
Uttarakhand,Total,Female,law,0.1
Uttarakhand,Total,Female,management,0.1
Uttarakhand,Total,Female,medicine,0.1
Uttarakhand,Total,Female,others*,1.1
Uttarakhand,Total,Female,science,4.5
Uttarakhand,Total,Female,up to X,75.8
Uttarakhand,Total,Male,all (incl. n.r.),100
Uttarakhand,Total,Male,commerce,2.9
Uttarakhand,Total,Male,courses from ITI/ recognised vocational institutes,0.9
Uttarakhand,Total,Male,engineering,0.9
Uttarakhand,Total,Male,humanities,8.5
Uttarakhand,Total,Male,IT/ computer courses,0.2
Uttarakhand,Total,Male,law,0
Uttarakhand,Total,Male,management,0.2
Uttarakhand,Total,Male,medicine,0.6
Uttarakhand,Total,Male,others*,1.4
Uttarakhand,Total,Male,science,11
Uttarakhand,Total,Male,up to X,73.4
Uttarakhand,Total,Person,all (incl. n.r.),100
Uttarakhand,Total,Person,commerce,2.3
Uttarakhand,Total,Person,courses from ITI/ recognised vocational institutes,1
Uttarakhand,Total,Person,engineering,1
Uttarakhand,Total,Person,humanities,11.2
Uttarakhand,Total,Person,IT/ computer courses,0.1
Uttarakhand,Total,Person,law,0
Uttarakhand,Total,Person,management,0.2
Uttarakhand,Total,Person,medicine,0.4
Uttarakhand,Total,Person,others*,1.3
Uttarakhand,Total,Person,science,8.1
Uttarakhand,Total,Person,up to X,74.5
Uttarakhand,Urban,Female,all (incl. n.r.),100
Uttarakhand,Urban,Female,commerce,3.7
Uttarakhand,Urban,Female,courses from ITI/ recognised vocational institutes,0.2
Uttarakhand,Urban,Female,engineering,4.5
Uttarakhand,Urban,Female,humanities,9.8
Uttarakhand,Urban,Female,IT/ computer courses,0.3
Uttarakhand,Urban,Female,law,0.3
Uttarakhand,Urban,Female,management,0.3
Uttarakhand,Urban,Female,medicine,0.2
Uttarakhand,Urban,Female,others*,1.6
Uttarakhand,Urban,Female,science,7.8
Uttarakhand,Urban,Female,up to X,71.5
Uttarakhand,Urban,Male,all (incl. n.r.),100
Uttarakhand,Urban,Male,commerce,6.8
Uttarakhand,Urban,Male,courses from ITI/ recognised vocational institutes,0.6
Uttarakhand,Urban,Male,engineering,1.8
Uttarakhand,Urban,Male,humanities,6.2
Uttarakhand,Urban,Male,IT/ computer courses,0.3
Uttarakhand,Urban,Male,law,0
Uttarakhand,Urban,Male,management,0.7
Uttarakhand,Urban,Male,medicine,1.3
Uttarakhand,Urban,Male,others*,3.2
Uttarakhand,Urban,Male,science,10.4
Uttarakhand,Urban,Male,up to X,68.7
Uttarakhand,Urban,Person,all (incl. n.r.),100
Uttarakhand,Urban,Person,commerce,5.5
Uttarakhand,Urban,Person,courses from ITI/ recognised vocational institutes,0.4
Uttarakhand,Urban,Person,engineering,3
Uttarakhand,Urban,Person,humanities,7.7
Uttarakhand,Urban,Person,IT/ computer courses,0.3
Uttarakhand,Urban,Person,law,0.1
Uttarakhand,Urban,Person,management,0.5
Uttarakhand,Urban,Person,medicine,0.8
Uttarakhand,Urban,Person,others*,2.5
Uttarakhand,Urban,Person,science,9.3
Uttarakhand,Urban,Person,up to X,69.9
Haryana,Rural,Female,all (incl. n.r.),100
Haryana,Rural,Female,commerce,4.8
Haryana,Rural,Female,courses from ITI/ recognised vocational institutes,0.6
Haryana,Rural,Female,engineering,0.2
Haryana,Rural,Female,humanities,11.2
Haryana,Rural,Female,IT/ computer courses,0.1
Haryana,Rural,Female,law,0
Haryana,Rural,Female,management,0
Haryana,Rural,Female,medicine,0.2
Haryana,Rural,Female,others*,2.1
Haryana,Rural,Female,science,4.1
Haryana,Rural,Female,up to X,76.6
Haryana,Rural,Male,all (incl. n.r.),100
Haryana,Rural,Male,commerce,2.1
Haryana,Rural,Male,courses from ITI/ recognised vocational institutes,3
Haryana,Rural,Male,engineering,0.8
Haryana,Rural,Male,humanities,10.5
Haryana,Rural,Male,IT/ computer courses,0.3
Haryana,Rural,Male,law,0
Haryana,Rural,Male,management,0.1
Haryana,Rural,Male,medicine,0.1
Haryana,Rural,Male,others*,1.3
Haryana,Rural,Male,science,5
Haryana,Rural,Male,up to X,76.6
Haryana,Rural,Person,all (incl. n.r.),100
Haryana,Rural,Person,commerce,3.2
Haryana,Rural,Person,courses from ITI/ recognised vocational institutes,2.1
Haryana,Rural,Person,engineering,0.6
Haryana,Rural,Person,humanities,10.8
Haryana,Rural,Person,IT/ computer courses,0.2
Haryana,Rural,Person,law,0
Haryana,Rural,Person,management,0.1
Haryana,Rural,Person,medicine,0.2
Haryana,Rural,Person,others*,1.6
Haryana,Rural,Person,science,4.6
Haryana,Rural,Person,up to X,76.6
Haryana,Total,Female,all (incl. n.r.),100
Haryana,Total,Female,commerce,6.4
Haryana,Total,Female,courses from ITI/ recognised vocational institutes,0.9
Haryana,Total,Female,engineering,0.5
Haryana,Total,Female,humanities,10.4
Haryana,Total,Female,IT/ computer courses,0.1
Haryana,Total,Female,law,0
Haryana,Total,Female,management,0.3
Haryana,Total,Female,medicine,0.7
Haryana,Total,Female,others*,2.2
Haryana,Total,Female,science,5.2
Haryana,Total,Female,up to X,73.3
Haryana,Total,Male,all (incl. n.r.),100
Haryana,Total,Male,commerce,3.2
Haryana,Total,Male,courses from ITI/ recognised vocational institutes,2.3
Haryana,Total,Male,engineering,1.7
Haryana,Total,Male,humanities,10.5
Haryana,Total,Male,IT/ computer courses,0.4
Haryana,Total,Male,law,0.1
Haryana,Total,Male,management,0.4
Haryana,Total,Male,medicine,0.6
Haryana,Total,Male,others*,1.2
Haryana,Total,Male,science,5.1
Haryana,Total,Male,up to X,74.4
Haryana,Total,Person,all (incl. n.r.),100
Haryana,Total,Person,commerce,4.5
Haryana,Total,Person,courses from ITI/ recognised vocational institutes,1.8
Haryana,Total,Person,engineering,1.2
Haryana,Total,Person,humanities,10.4
Haryana,Total,Person,IT/ computer courses,0.3
Haryana,Total,Person,law,0.1
Haryana,Total,Person,management,0.4
Haryana,Total,Person,medicine,0.6
Haryana,Total,Person,others*,1.6
Haryana,Total,Person,science,5.1
Haryana,Total,Person,up to X,74
Haryana,Urban,Female,all (incl. n.r.),100
Haryana,Urban,Female,commerce,9.5
Haryana,Urban,Female,courses from ITI/ recognised vocational institutes,1.5
Haryana,Urban,Female,engineering,1
Haryana,Urban,Female,humanities,8.8
Haryana,Urban,Female,IT/ computer courses,0.1
Haryana,Urban,Female,law,0
Haryana,Urban,Female,management,0.8
Haryana,Urban,Female,medicine,1.5
Haryana,Urban,Female,others*,2.6
Haryana,Urban,Female,science,7.2
Haryana,Urban,Female,up to X,66.9
Haryana,Urban,Male,all (incl. n.r.),100
